FID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
0,53,031,950501,53031950501,9505.01,Census Tract 9505.01,G5020,S,133183777.000000000000000,29392293.000000000000000,+48.0229545,-122.8630294
1,53,031,950301,53031950301,9503.01,Census Tract 9503.01,G5020,S,168517385.000000000000000,40875654.000000000000000,+47.8624798,-122.7109008
2,53,031,950502,53031950502,9505.02,Census Tract 9505.02,G5020,S,27589162.000000000000000,226645857.000000000000000,+48.1307315,-122.9265171
3,53,031,950604,53031950604,9506.04,Census Tract 9506.04,G5020,S,5475345.000000000000000,21915631.000000000000000,+48.1416256,-122.7726834
4,53,031,950302,53031950302,9503.02,Census Tract 9503.02,G5020,S,39477729.000000000000000,39018032.000000000000000,+47.9700099,-122.6945214
5,53,031,950603,53031950603,9506.03,Census Tract 9506.03,G5020,S,4524989.000000000000000,1372503.000000000000000,+48.1079807,-122.7825306
6,53,015,001601,53015001601,16.01,Census Tract 16.01,G5020,S,33723548.000000000000000,3406075.000000000000000,+46.0300794,-122.8396039
7,53,015,001602,53015001602,16.02,Census Tract 16.02,G5020,S,74281442.000000000000000,915642.000000000000000,+46.0210649,-122.7530335
8,53,015,002004,53015002004,20.04,Census Tract 20.04,G5020,S,125854065.000000000000000,1747693.000000000000000,+46.3476327,-122.8349618
9,53,015,000705,53015000705,7.05,Census Tract 7.05,G5020,S,3169343.000000000000000,0.000000000000000,+46.1675495,-123.0036190
10,53,015,000706,53015000706,7.06,Census Tract 7.06,G5020,S,3458710.000000000000000,0.000000000000000,+46.1698965,-122.9890948
11,53,015,000802,53015000802,8.02,Census Tract 8.02,G5020,S,10986777.000000000000000,0.000000000000000,+46.1782850,-122.9679524
12,53,015,000801,53015000801,8.01,Census Tract 8.01,G5020,S,4682340.000000000000000,91824.000000000000000,+46.1566498,-122.9249604
13,53,075,000602,53075000602,6.02,Census Tract 6.02,G5020,S,83019278.000000000000000,0.000000000000000,+46.7712346,-117.0989449
14,53,075,000601,53075000601,6.01,Census Tract 6.01,G5020,S,1028996.000000000000000,0.000000000000000,+46.7414143,-117.1645509
15,53,075,000202,53075000202,2.02,Census Tract 2.02,G5020,S,2019222.000000000000000,0.000000000000000,+46.7387186,-117.1853588
16,53,075,000201,53075000201,2.01,Census Tract 2.01,G5020,S,107067961.000000000000000,0.000000000000000,+46.7943975,-117.2247486
17,53,067,010400,53067010400,104,Census Tract 104,G5020,S,4095859.000000000000000,141994.000000000000000,+47.0242809,-122.8842817
18,53,061,052120,53061052120,521.20,Census Tract 521.20,G5020,S,1630868.000000000000000,0.000000000000000,+47.8682700,-122.1509386
19,53,061,041907,53061041907,419.07,Census Tract 419.07,G5020,S,1016300.000000000000000,0.000000000000000,+47.9130242,-122.2505627
20,53,061,041906,53061041906,419.06,Census Tract 419.06,G5020,S,2394485.000000000000000,0.000000000000000,+47.9162827,-122.2610520
21,53,061,041814,53061041814,418.14,Census Tract 418.14,G5020,S,1470890.000000000000000,0.000000000000000,+47.9021110,-122.2222073
22,53,061,052119,53061052119,521.19,Census Tract 521.19,G5020,S,1350849.000000000000000,0.000000000000000,+47.8715231,-122.1632712
23,53,061,050403,53061050403,504.03,Census Tract 504.03,G5020,S,2292771.000000000000000,0.000000000000000,+47.8160066,-122.3542772
24,53,061,041815,53061041815,418.15,Census Tract 418.15,G5020,S,1578393.000000000000000,98004.000000000000000,+47.8754881,-122.2488969
25,53,061,052505,53061052505,525.05,Census Tract 525.05,G5020,S,2605332.000000000000000,0.000000000000000,+47.9878895,-122.1229998
26,53,061,053510,53061053510,535.10,Census Tract 535.10,G5020,S,4149248.000000000000000,0.000000000000000,+48.1946566,-122.1140132
27,53,061,052808,53061052808,528.08,Census Tract 528.08,G5020,S,4255549.000000000000000,0.000000000000000,+48.1058151,-122.1537386
28,53,061,052810,53061052810,528.10,Census Tract 528.10,G5020,S,1939990.000000000000000,0.000000000000000,+48.0800788,-122.1510715
29,53,061,052008,53061052008,520.08,Census Tract 520.08,G5020,S,1937400.000000000000000,27393.000000000000000,+47.8705129,-122.1809281
30,53,061,052121,53061052121,521.21,Census Tract 521.21,G5020,S,2651040.000000000000000,0.000000000000000,+47.8813812,-122.1464488
31,53,061,052010,53061052010,520.10,Census Tract 520.10,G5020,S,1604539.000000000000000,0.000000000000000,+47.8566944,-122.1791458
32,53,061,041610,53061041610,416.10,Census Tract 416.10,G5020,S,1757031.000000000000000,0.000000000000000,+47.8879241,-122.1593119
33,53,061,052009,53061052009,520.09,Census Tract 520.09,G5020,S,2325953.000000000000000,0.000000000000000,+47.8436528,-122.1769122
34,53,061,051934,53061051934,519.34,Census Tract 519.34,G5020,S,1644400.000000000000000,0.000000000000000,+47.8301407,-122.1990771
35,53,061,051936,53061051936,519.36,Census Tract 519.36,G5020,S,1064607.000000000000000,0.000000000000000,+47.8151621,-122.2012558
