Ticker,Company Name,Currency,Exchange,Country/Region,Type,Price,Avg Vol
MC FP Equity,LVMH Moet Hennessy Louis Vuitton SE,EUR,FP,FR,Common Stock,606.7,474578.3
AF FP Equity,Air France-KLM,EUR,FP,FR,Common Stock,1.7565,11605200
BNP FP Equity,BNP Paribas SA,EUR,FP,FR,Common Stock,53.51,3613808
EAPI FP Equity,Euroapi SA,EUR,FP,FR,Common Stock,13.73,#N/A N/A
TTE FP Equity,TotalEnergies SE,EUR,FP,FR,Common Stock,54.6,6957093
GLE FP Equity,Societe Generale SA,EUR,FP,FR,Common Stock,25.455,4535127
ORP FP Equity,Orpea SA,EUR,FP,FR,Common Stock,25.66,1071442
SAN FP Equity,Sanofi,EUR,FP,FR,Common Stock,100.36,2246449
ALO FP Equity,Alstom SA,EUR,FP,FR,Common Stock,25.93,2016069
KER FP Equity,Kering SA,EUR,FP,FR,Common Stock,515.3,266691.2
OR FP Equity,L'Oreal SA,EUR,FP,FR,Common Stock,325.95,506130.6
UBI FP Equity,Ubisoft Entertainment SA,EUR,FP,FR,Common Stock,48.5,844511.1
AIR FP Equity,Airbus SE,EUR,FP,FR,Common Stock,109.5,1527254
EDF FP Equity,Electricite de France SA,EUR,FP,FR,Common Stock,8.258,3387457
SU FP Equity,Schneider Electric SE,EUR,FP,FR,Common Stock,128.74,1026220
ENGI FP Equity,Engie SA,EUR,FP,FR,Common Stock,12.584,7001480
RMS FP Equity,Hermes International,EUR,FP,FR,Common Stock,1112.5,83295.77
VIE FP Equity,Veolia Environnement SA,EUR,FP,FR,Common Stock,26.3,1973507
EL FP Equity,EssilorLuxottica SA,EUR,FP,FR,Common Stock,150.1,566994.2
CS FP Equity,AXA SA,EUR,FP,FR,Common Stock,23.715,5837243
AI FP Equity,Air Liquide SA,EUR,FP,FR,Common Stock,161.68,758093.8
ACA FP Equity,Credit Agricole SA,EUR,FP,FR,Common Stock,10.26,8202251
CA FP Equity,Carrefour SA,EUR,FP,FR,Common Stock,19.305,3462080
DG FP Equity,Vinci SA,EUR,FP,FR,Common Stock,90.23,1196315
VK FP Equity,Vallourec SA,EUR,FP,FR,Common Stock,13.065,1456990
BN FP Equity,Danone SA,EUR,FP,FR,Common Stock,55.23,1689522
ORA FP Equity,Orange SA,EUR,FP,FR,Common Stock,11.672,7237270
RNO FP Equity,Renault SA,EUR,FP,FR,Common Stock,26.535,1636639
SGO FP Equity,Cie de Saint-Gobain,EUR,FP,FR,Common Stock,55.39,1184291
SAF FP Equity,Safran SA,EUR,FP,FR,Common Stock,97.58,781073.3
EO FP Equity,Faurecia SE,EUR,FP,FR,Common Stock,26.16,1748203
ML FP Equity,Cie Generale des Etablissements Michelin SCA,EUR,FP,FR,Common Stock,122.05,426928
DSY FP Equity,Dassault Systemes SE,EUR,FP,FR,Common Stock,38.945,1372974
RI FP Equity,Pernod Ricard SA,EUR,FP,FR,Common Stock,183.05,400499
ELIOR FP Equity,Elior Group SA,EUR,FP,FR,Common Stock,2.846,1216806
ELIS FP Equity,Elis SA,EUR,FP,FR,Common Stock,14.51,311887.8
ATO FP Equity,Atos SE,EUR,FP,FR,Common Stock,23.93,921569.8
GTT FP Equity,Gaztransport Et Technigaz SA,EUR,FP,FR,Common Stock,122.7,101481.2
WLN FP Equity,Worldline SA/France,EUR,FP,FR,Common Stock,38.15,814840.3
AC FP Equity,Accor SA,EUR,FP,FR,Common Stock,30.7,676727.1
CAP FP Equity,Capgemini SE,EUR,FP,FR,Common Stock,177.25,326624
