Ticker,Company Name,Currency,Exchange,Country/Region,Type,Price,Avg Vol
ASML NA Equity,ASML Holding NV,EUR,NA,NL,Common Stock,535.3,805527.6
ADYEN NA Equity,Adyen NV,EUR,NA,NL,Common Stock,1440.6,96487.77
PRX NA Equity,Prosus NV,EUR,NA,NL,Common Stock,47.97,3231731
INGA NA Equity,ING Groep NV,EUR,NA,NL,Common Stock,10.488,18072790
PHIA NA Equity,Koninklijke Philips NV,EUR,NA,NL,Common Stock,23.635,3583840
TKWY NA Equity,Just Eat Takeaway.com NV,EUR,NA,NL,Common Stock,20.76,3332605
STLA IM Equity,Stellantis NV,EUR,IM,NL,Common Stock,14.416,13752070
AD NA Equity,Koninklijke Ahold Delhaize NV,EUR,NA,NL,Common Stock,25.795,3083200
UMG NA Equity,Universal Music Group NV,EUR,NA,NL,Common Stock,21.18,1864358
DSM NA Equity,Koninklijke DSM NV,EUR,NA,NL,Common Stock,158.25,432268.7
NXPI US Equity,NXP Semiconductors NV,USD,US,NL,Common Stock,189.76,2905174.75
BESI NA Equity,BE Semiconductor Industries NV,EUR,NA,NL,Common Stock,57.28,812422.6
HEIA NA Equity,Heineken NV,EUR,NA,NL,Common Stock,93.28,642351.8
ENX FP Equity,Euronext NV,EUR,FP,NL,Common Stock,80.6,158095.9
OCI NA Equity,OCI NV,EUR,NA,NL,Common Stock,34.5,787057.3
ALFEN NA Equity,Alfen Beheer BV,EUR,NA,NL,Common Stock,102.2,91135.27
ACCEL NA Equity,Accell Group NV,EUR,NA,NL,Common Stock,51.6,58349.43
ASM NA Equity,ASM International NV,EUR,NA,NL,Common Stock,289.4,231322.7
SAE GY Equity,Shop Apotheke Europe NV,EUR,GY,NL,Common Stock,99.1,147723
PNL NA Equity,PostNL NV,EUR,NA,NL,Common Stock,3.164,6442557
NN NA Equity,NN Group NV,EUR,NA,NL,Common Stock,46.33,857639.9
KPN NA Equity,Koninklijke KPN NV,EUR,NA,NL,Common Stock,3.399,13026350
LIGHT NA Equity,Signify NV,EUR,NA,NL,Common Stock,37.5,557425.9
AKZA NA Equity,Akzo Nobel NV,EUR,NA,NL,Common Stock,81.48,572053.3
WKL NA Equity,Wolters Kluwer NV,EUR,NA,NL,Common Stock,90.8,492673.8
JDEP NA Equity,JDE Peet's NV,EUR,NA,NL,Common Stock,27.24,377034.8
AALB NA Equity,Aalberts NV,EUR,NA,NL,Common Stock,47.46,218471.1
AGN NA Equity,Aegon NV,EUR,NA,NL,Common Stock,4.972,9572623
STLA FP Equity,Stellantis NV,EUR,FP,NL,Common Stock,14.418,4040192
BFIT NA Equity,Basic-Fit NV,EUR,NA,NL,Common Stock,39.52,122353.4
FLOW NA Equity,Flow Traders,EUR,NA,NL,Common Stock,29.44,167023.5
CTPNV NA Equity,CTP NV,EUR,NA,NL,Common Stock,12.96,122416.7
ARGX BB Equity,Argenx SE,EUR,BB,NL,Common Stock,293,90810.2
STLA US Equity,Stellantis NV,USD,US,NL,Common Stock,15.1,5942669
IMCD NA Equity,IMCD NV,EUR,NA,NL,Common Stock,139.95,171197.7
