Ticker,Company Name,Currency,Exchange,Country/Region,Type,Price,Avg Vol,ISIN
SGRE SM Equity,Siemens Gamesa Renewable Energy SA,EUR,SM,ES,Common Stock,18.025,3187500,ES0143416115
ITX SM Equity,Industria de Diseno Textil SA,EUR,SM,ES,Common Stock,22.53,7190726,ES0148396007
IBE SM Equity,Iberdrola SA,EUR,SM,ES,Common Stock,10.925,14554140,ES0144580Y14
TEF SM Equity,Telefonica SA,EUR,SM,ES,Common Stock,4.81,21050970,
CLNX SM Equity,Cellnex Telecom SA,EUR,SM,ES,Common Stock,41.53,1467162,
SAN SM Equity,Banco Santander SA,EUR,SM,ES,Common Stock,3.038,70149620,
REP SM Equity,Repsol SA,EUR,SM,ES,Common Stock,14.98,9669926,
FER SM Equity,Ferrovial SA,EUR,SM,ES,Common Stock,24.11,1284244,
GRF SM Equity,Grifols SA,EUR,SM,ES,Common Stock,19.56,1322261,
CABK SM Equity,CaixaBank SA,EUR,SM,ES,Common Stock,3.433,18900530,
AMS SM Equity,Amadeus IT Group SA,EUR,SM,ES,Common Stock,57.78,786239.4,
BBVA SM Equity,Banco Bilbao Vizcaya Argentaria SA,EUR,SM,ES,Common Stock,5.099,21127900,
FDR SM Equity,Fluidra SA,EUR,SM,ES,Common Stock,24.7,499651.3,
ALM SM Equity,Almirall SA,EUR,SM,ES,Common Stock,10.43,385647.4,
EDPR PL Equity,EDP Renovaveis SA,EUR,PL,ES,Common Stock,22.88,898284.1,
ANE SM Equity,Corp ACCIONA Energias Renovables SA,EUR,SM,ES,Common Stock,36.6,184369.6,
ELE SM Equity,Endesa SA,EUR,SM,ES,Common Stock,20.56,1059842,
ACS SM Equity,ACS Actividades de Construccion y Servicios SA,EUR,SM,ES,Common Stock,26.54,762396.9,
ACX SM Equity,Acerinox SA,EUR,SM,ES,Common Stock,12.11,1495745,
NTGY SM Equity,Naturgy Energy Group SA,EUR,SM,ES,Common Stock,27.9,558176.7,
SLR SM Equity,Solaria Energia y Medio Ambiente SA,EUR,SM,ES,Common Stock,21.65,511800.4,
SAB SM Equity,Banco de Sabadell SA,EUR,SM,ES,Common Stock,0.8408,38377070,
ANA SM Equity,Acciona SA,EUR,SM,ES,Common Stock,187.7,182993.3,
MEL SM Equity,Melia Hotels International SA,EUR,SM,ES,Common Stock,7.555,1045733,
AENA SM Equity,Aena SME SA,EUR,SM,ES,Common Stock,141.4,165032.5,
APPS SM Equity,Applus Services SA,EUR,SM,ES,Common Stock,7.005,232939.8,
EDR SM Equity,eDreams ODIGEO SA,EUR,SM,ES,Common Stock,6.97,136984.1,
ROVI SM Equity,Laboratorios Farmaceuticos Rovi SA,EUR,SM,ES,Common Stock,62.15,134738.7,
ENG SM Equity,Enagas SA,EUR,SM,ES,Common Stock,21.45,959319.7,
HOME SM Equity,Neinor Homes SA,EUR,SM,ES,Common Stock,11.4,275959.2,
REE SM Equity,Red Electrica Corp SA,EUR,SM,ES,Common Stock,19.22,1369530,
GRE SM Equity,Grenergy Renovables SA,EUR,SM,ES,Common Stock,39.64,57102.27,
IDR SM Equity,Indra Sistemas SA,EUR,SM,ES,Common Stock,10.27,761460.7,
GEST SM Equity,Gestamp Automocion SA,EUR,SM,ES,Common Stock,3.794,488373.2,
WBX US Equity,Wallbox NV,USD,US,ES,Common Stock,9.8,246108.7656,
TRE SM Equity,Tecnicas Reunidas SA,EUR,SM,ES,Common Stock,9.96,258484.3,
SCYR SM Equity,Sacyr SA,EUR,SM,ES,Common Stock,2.674,2243301,
BKT SM Equity,Bankinter SA,EUR,SM,ES,Common Stock,5.964,2555356,
MVC SM Equity,Metrovacesa SA,EUR,SM,ES,Common Stock,7.07,227815.7,
VID SM Equity,Vidrala SA,EUR,SM,ES,Common Stock,75.4,34023.46,
