Ticker,Company Name,Currency,Exchange,Country/Region,Type,Price,Avg Vol,ISIN,sedol
TUB SM Equity,Tubacex SA,EUR,SM,ES,Common Stock,2.47,365337.6,,2067672
VLG SM Equity,Vueling Airlines SA,EUR,SM,ES,Common Stock,,,,2200853
VOC SM Equity,Vocento SA,EUR,SM,ES,Common Stock,0.858,141038.1,,2859200
CEV SM Equity,ESP Viviendas Alquiler SA,EUR,SM,ES,Common Stock,7.2,927.8666,,2986937
NHH SM Equity,NH Hotel Group SA,EUR,SM,ES,Common Stock,3.9,59340.5,,4571784
EBRO SM Equity,Ebro Foods SA,EUR,SM,ES,Common Stock,16.58,43268.46,,5468324
BKT SM Equity,Bankinter SA,EUR,SM,ES,Common Stock,5.964,2555356,,5474008
BBVA SM Equity,Banco Bilbao Vizcaya Argentaria SA,EUR,SM,ES,Common Stock,5.099,21127900,,5501906
BVA SM Equity,Banco de Valencia SA,EUR,SM,ES,Common Stock,,,,5501906
SCYR SM Equity,Sacyr SA,EUR,SM,ES,Common Stock,2.674,2243301,,5504789
DESA SM Equity,Desarrollos especiales de sistemas de Anclaje SA,EUR,SM,ES,Common Stock,15.5,3.833333,,5579107
FRS EU Equity,Audax Renovables SA,EUR,EU,ES,Common Stock,1.254,611832.1,,5623662
CMO SM Equity,Cementos Molins SA,EUR,SM,ES,Common Stock,17,1914.333,,6002453
AZU GR Equity,Ebro Foods SA,EUR,GR,ES,Common Stock,16.5,184.8667,,6898210
SGRE SM Equity,Siemens Gamesa Renewable Energy SA,EUR,SM,ES,Common Stock,18.025,3187500,ES0143416115,B01CP21
TL5 SM Equity,Mediaset Espana Comunicacion SA,EUR,SM,ES,Common Stock,4.102,371074.4,,B01G2K0
472 TH Equity,Cellnex Telecom SA,EUR,TH,ES,Common Stock,41.66,275.3333,,B01KHM9
MAP SM Equity,Mapfre SA,EUR,SM,ES,Common Stock,1.746,5903050,,B034L49
BBI SM Equity,Bodegas Bilbainas SA,EUR,SM,ES,Common Stock,,,,B034L49
A3M SM Equity,Atresmedia Corp de Medios de Comunicacion SA,EUR,SM,ES,Common Stock,4.058,353759.8,,B07VZ99
IBLA SM Equity,Iberia Lineas Aereas de Espana SA Operadora,EUR,SM,ES,Common Stock,,,,B091DR1
MIO SM Equity,Media Investment Optimization SA,EUR,SM,ES,Common Stock,7,743.7667,,B091DR1
SANT IM Equity,Banco Santander SA,EUR,IM,ES,Common Stock,3.032,16664.77,,B09C0Z1
LIW SM Equity,Liwe Espanola SA,EUR,SM,ES,Common Stock,8,23.03333,,B0DQSM2
RBT SM Equity,Robot SA,EUR,SM,ES,Common Stock,2.02,335.2667,,B0J2NS5
CAF SQ Equity,Construcciones y Auxiliar de Ferrocarriles SA,EUR,SQ,ES,Common Stock,30.25,55735,,B0SQYV8
SAI SQ Equity,Substrate Artificial Inteligence SA,EUR,SQ,ES,Common Stock,1.9,,,B0SQYV8
CDRE PO Equity,Codere SA/Spain,EUR,PO,ES,Common Stock,,,,B192HG8
EDR SQ Equity,eDreams ODIGEO SA,EUR,SQ,ES,Common Stock,6.97,136984.1,,B1Y1SQ7
CABK SM Equity,CaixaBank SA,EUR,SM,ES,Common Stock,3.433,18900530,,B283W97
FDR SM Equity,Fluidra SA,EUR,SM,ES,Common Stock,24.7,499651.3,,B28V440
VYT SM Equity,Vytrus Biotech SA,EUR,SM,ES,Common Stock,3.5,3524.533,,B29F9S0
EDPR PL Equity,EDP Renovaveis SA,EUR,PL,ES,Common Stock,22.88,898284.1,,B39GNW2
GSJ SM Equity,Grupo Empresarial San Jose SA,EUR,SM,ES,Common Stock,4.35,15985.17,,B3NQ9K8
ALB SQ Equity,Corp Financiera Alba SA,EUR,SQ,ES,Common Stock,56,33802.96,,B3SQRQ5
SPH SM Equity,Profithol SL,EUR,SM,ES,Common Stock,9.1,1948.1,,B58J3K4
SAP SM Equity,Playa de Alboraya,EUR,SM,ES,Common Stock,,,,B58J3K4
AYO GR Equity,Abengoa SA,EUR,GR,ES,Common Stock,,,,B74B7B7
ABG SM Equity,Abengoa SA,EUR,SM,ES,Common Stock,0.0165,0,,B83KH89
BBV BB Equity,Banco Bilbao Vizcaya Argentaria SA,EUR,BB,ES,Common Stock,4.8935,62.53333,,B92SR70
PQR SM Equity,Parques Reunidos Servicios Centrales SAU,EUR,SM,ES,Common Stock,,,,BD3CWD0
YOVA SM Equity,Optimum III Value-Added Residential Socimi SA,EUR,SM,ES,Common Stock,9.85,98.26667,,BD3WG49
EBRO EU Equity,Ebro Foods SA,EUR,EU,ES,Common Stock,16.58,149322.8,,BD5LY17
QBT SM Equity,Quabit Inmobiliaria SA,EUR,SM,ES,Common Stock,,,,BD6WCG0
AZR SM Equity,Azora Gestion Inmobiliaria SL,EUR,SM,ES,Common Stock,,,,BDG16Z4
ACS SM Equity,ACS Actividades de Construccion y Servicios SA,EUR,SM,ES,Common Stock,26.54,762396.9,,BDRJ4T7
1571206D SM Equity,ACS Actividades de Construccion y Servicios SA,EUR,SM,ES,Common Stock,,,,BDRJ4T7
FAE SM Equity,Faes Farma SA,EUR,SM,ES,Common Stock,4.015,383469.6,,BF5BLQ5
GIGA SM Equity,Gigas Hosting SA,EUR,SM,ES,Common Stock,8.9,2282.8,,BFB4889
ZDO GR Equity,Zardoya Otis SA,EUR,GR,ES,Common Stock,7,0,,BFMH1Z5
VOC EU Equity,Vocento SA,EUR,EU,ES,Common Stock,0.858,164930.2,,BFWLBZ7
DOMO SM Equity,Domo Activos SA,EUR,SM,ES,Common Stock,1.55,183.3333,,BFZNZC5
SPK SM Equity,Solarpack Corp Tecnologica SA,EUR,SM,ES,Common Stock,,0,,BFZYXH9
EZE SM Equity,Grupo Ezentis SA,EUR,SM,ES,Common Stock,0.1652,488752.9,,BH5M4T6
MAP EU Equity,Mapfre SA,EUR,EU,ES,Common Stock,1.746,11872750,,BJDX8Z9
OHL EU Equity,Obrascon Huarte Lain SA,EUR,EU,ES,Common Stock,0.745,2336520,,BJLKVS6
FCC SM Equity,Fomento de Construcciones y Contratas SA,EUR,SM,ES,Common Stock,11.3,41645.9,,BKBDBS2
MTB SM Equity,Montebalito SA,EUR,SM,ES,Common Stock,1.4,5326.667,,BKDSMB5
1892331D SM Equity,Telefonica SA,EUR,SM,ES,Common Stock,,,,BKVF4B2
CDR SM Equity,Codere SA/Spain,EUR,SM,ES,Common Stock,,0,,BKVKB49
1777596D SM Equity,Iberdrola SA,EUR,SM,ES,Common Stock,,,,BKY71B4
ATL SM Equity,Banco Atlantico SA,EUR,SM,ES,Common Stock,,,,BLFGN99
APPS SM Equity,Applus Services SA,EUR,SM,ES,Common Stock,7.005,232939.8,,BM677T6
DGI EU Equity,Nueva Expresion Textil SA,EUR,EU,ES,Common Stock,0.406,38313.4,,BM8NHS1
BCP SM Equity,Blue Chip Inversiones SA,EUR,SM,ES,Common Stock,,,,BMC5RM7
GCO SM Equity,Grupo Catalana Occidente SA,EUR,SM,ES,Common Stock,28.9,36152.87,,BMDCDP2
EDW TH Equity,EDP Renovaveis SA,EUR,TH,ES,Common Stock,22.84,518.8333,,BMDJ397
CLEO SM Equity,Cia Levantina de Edificacion y Obras Publicas SA,EUR,SM,ES,Common Stock,1.15,0,,BMFK3H6
1877495D SM Equity,Cellnex Telecom SA,EUR,SM,ES,Common Stock,,,,BMTRDK6
SEV SM Equity,Cia Sevillana de Electricidad,EUR,SM,ES,Common Stock,,,,BMTXV88
TEF SM Equity,Telefonica SA,EUR,SM,ES,Common Stock,4.81,21050970,,BMX0BW9
BME SM Equity,Bolsas y Mercados Espanoles SHMSF SA,EUR,SM,ES,Common Stock,,,,BNKF6N0
ALB XV Equity,Corp Financiera Alba SA,EUR,XV,ES,Common Stock,55.7,3557.267,,BNVSXV5
VGO SM Equity,Viesgo Distribucion Electrica SL,EUR,SM,ES,Common Stock,,,,BP2Q7L0
AENA SM Equity,Aena SME SA,EUR,SM,ES,Common Stock,141.4,165032.5,,BVRZ8L1
CLNX SM Equity,Cellnex Telecom SA,EUR,SM,ES,Common Stock,41.53,1467162,,BX90C05
TLGO SM Equity,Talgo SA,EUR,SM,ES,Common Stock,3.81,137793.1,,BX9C1J3
YSIL SM Equity,Silicius Real Estate Socimi SA,EUR,SM,ES,Common Stock,15.9,69.96667,,BYM5JB4
ALB SM Equity,Corp Financiera Alba SA,EUR,SM,ES,Common Stock,56,33802.96,,BYMP0T9
GRF SM Equity,Grifols SA,EUR,SM,ES,Common Stock,19.56,1322261,,BYP0K57
GRF EU Equity,Grifols SA,EUR,EU,ES,Common Stock,19.56,3325532,,BYP0K57
AEDAS SM Equity,Aedas Homes SA,EUR,SM,ES,Common Stock,21.9,7221.333,,BYP70L4
PRS SM Equity,Promotora de Informaciones SA,EUR,SM,ES,Common Stock,0.579,107234.2,,BYQ0HV1
LGT SM Equity,Lingotes Especiales SA,EUR,SM,ES,Common Stock,10.15,1519.567,,BYQBFQ5
PRM SM Equity,Prim SA,EUR,SM,ES,Common Stock,14.2,3332.967,,BYQNJK3
EKT SM Equity,Euskaltel SA,EUR,SM,ES,Common Stock,,,,BYR4L21
