ZoneID,STATEFP,State,NAME,NAMELSAD,CompleteName,StateCompleteName,ASCName,BEAName,Fullname
101,55,WI,Sauk,Sauk County,"Sauk County, WI",Wisconsin,"Sauk County, Wisconsin","Sauk, WI","Sauk County, WI"
102,26,MI,Menominee,Menominee County,"Menominee County, MI",Michigan,"Menominee County, Michigan","Menominee, MI","Menominee County, MI"
103,26,MI,Marquette,Marquette County,"Marquette County, MI",Michigan,"Marquette County, Michigan","Marquette, MI","Marquette County, MI"
104,27,MN,Mille Lacs,Mille Lacs County,"Mille Lacs County, MN",Minnesota,"Mille Lacs County, Minnesota","Mille Lacs, MN","Mille Lacs County, MN"
105,27,MN,Fillmore,Fillmore County,"Fillmore County, MN",Minnesota,"Fillmore County, Minnesota","Fillmore, MN","Fillmore County, MN"
106,55,WI,Pierce,Pierce County,"Pierce County, WI",Wisconsin,"Pierce County, Wisconsin","Pierce, WI","Pierce County, WI"
107,55,WI,La Crosse,La Crosse County,"La Crosse County, WI",Wisconsin,"La Crosse County, Wisconsin","La Crosse, WI","La Crosse County, WI"
108,55,WI,Dunn,Dunn County,"Dunn County, WI",Wisconsin,"Dunn County, Wisconsin","Dunn, WI","Dunn County, WI"
109,55,WI,Jackson,Jackson County,"Jackson County, WI",Wisconsin,"Jackson County, Wisconsin","Jackson, WI","Jackson County, WI"
110,26,MI,Schoolcraft,Schoolcraft County,"Schoolcraft County, MI",Michigan,"Schoolcraft County, Michigan","Schoolcraft, MI","Schoolcraft County, MI"
111,26,MI,Alger,Alger County,"Alger County, MI",Michigan,"Alger County, Michigan","Alger, MI","Alger County, MI"
112,27,MN,Aitkin,Aitkin County,"Aitkin County, MN",Minnesota,"Aitkin County, Minnesota","Aitkin, MN","Aitkin County, MN"
113,27,MN,Dodge,Dodge County,"Dodge County, MN",Minnesota,"Dodge County, Minnesota","Dodge, MN","Dodge County, MN"
114,18,IN,Lake,Lake County,"Lake County, IN",Indiana,"Lake County, Indianapolis","Lake, IN","Lake County, IN"
115,55,WI,Green Lake,Green Lake County,"Green Lake County, WI",Wisconsin,"Green Lake County, Wisconsin","Green Lake, WI","Green Lake County, WI"
116,55,WI,Walworth,Walworth County,"Walworth County, WI",Wisconsin,"Walworth County, Wisconsin","Walworth, WI","Walworth County, WI"
117,27,MN,Olmsted,Olmsted County,"Olmsted County, MN",Minnesota,"Olmsted County, Minnesota","Olmsted, MN","Olmsted County, MN"
118,26,MI,Iron,Iron County,"Iron County, MI",Michigan,"Iron County, Michigan","Iron, MI","Iron County, MI"
119,26,MI,Ontonagon,Ontonagon County,"Ontonagon County, MI",Michigan,"Ontonagon County, Michigan","Ontonagon, MI","Ontonagon County, MI"
120,26,MI,Baraga,Baraga County,"Baraga County, MI",Michigan,"Baraga County, Michigan","Baraga, MI","Baraga County, MI"
121,55,WI,Vernon,Vernon County,"Vernon County, WI",Wisconsin,"Vernon County, Wisconsin","Vernon, WI","Vernon County, WI"
122,17,IL,Kendall,Kendall County,"Kendall County, IL",Illinois,"Kendall County, Illinois","Kendall, IL","Kendall County, IL"
123,27,MN,Wright,Wright County,"Wright County, MN",Minnesota,"Wright County, Minnesota","Wright, MN","Wright County, MN"
124,55,WI,Kenosha,Kenosha County,"Kenosha County, WI",Wisconsin,"Kenosha County, Wisconsin","Kenosha, WI","Kenosha County, WI"
125,17,IL,Cook,Cook County,"Cook County, IL 1",Illinois,"Cook County, Illinois","Cook, IL","Cook County, IL"
126,55,WI,Milwaukee,Milwaukee County,"Milwaukee County, WI",Wisconsin,"Milwaukee County, Wisconsin","Milwaukee, WI","Milwaukee County, WI"
127,27,MN,Scott,Scott County,"Scott County, MN",Minnesota,"Scott County, Minnesota","Scott, MN","Scott County, MN"
128,17,IL,Lee,Lee County,"Lee County, IL",Illinois,"Lee County, Illinois","Lee, IL","Lee County, IL"
129,17,IL,DeKalb,DeKalb County,"DeKalb County, IL",Illinois,"DeKalb County, Illinois","DeKalb, IL","DeKalb County, IL"
130,26,MI,Gogebic,Gogebic County,"Gogebic County, MI",Michigan,"Gogebic County, Michigan","Gogebic, MI","Gogebic County, MI"
131,55,WI,Ashland,Ashland County,"Ashland County, WI",Wisconsin,"Ashland County, Wisconsin","Ashland, WI","Ashland County, WI"
132,55,WI,Oneida,Oneida County,"Oneida County, WI",Wisconsin,"Oneida County, Wisconsin","Oneida, WI","Oneida County, WI"
133,55,WI,Waushara,Waushara County,"Waushara County, WI",Wisconsin,"Waushara County, Wisconsin","Waushara, WI","Waushara County, WI"
134,27,MN,Chisago,Chisago County,"Chisago County, MN",Minnesota,"Chisago County, Minnesota","Chisago, MN","Chisago County, MN"
135,55,WI,Washburn,Washburn County,"Washburn County, WI",Wisconsin,"Washburn County, Wisconsin","Washburn, WI","Washburn County, WI"
136,27,MN,Winona,Winona County,"Winona County, MN",Minnesota,"Winona County, Minnesota","Winona, MN","Winona County, MN"
137,55,WI,Lafayette,Lafayette County,"Lafayette County, WI",Wisconsin,"Lafayette County, Wisconsin","Lafayette, WI","Lafayette County, WI"
138,55,WI,Waupaca,Waupaca County,"Waupaca County, WI",Wisconsin,"Waupaca County, Wisconsin","Waupaca, WI","Waupaca County, WI"
139,55,WI,Vilas,Vilas County,"Vilas County, WI",Wisconsin,"Vilas County, Wisconsin","Vilas, WI","Vilas County, WI"
140,18,IN,Porter,Porter County,"Porter County, IN",Indiana,"Porter County, Indianapolis","Porter, IN","Porter County, IN"
141,55,WI,Ozaukee,Ozaukee County,"Ozaukee County, WI",Wisconsin,"Ozaukee County, Wisconsin","Ozaukee, WI","Ozaukee County, WI"
142,55,WI,Sheboygan,Sheboygan County,"Sheboygan County, WI",Wisconsin,"Sheboygan County, Wisconsin","Sheboygan, WI","Sheboygan County, WI"
143,55,WI,Washington,Washington County,"Washington County, WI",Wisconsin,"Washington County, Wisconsin","Washington, WI","Washington County, WI"
144,27,MN,Goodhue,Goodhue County,"Goodhue County, MN",Minnesota,"Goodhue County, Minnesota","Goodhue, MN","Goodhue County, MN"
