Area,Sex,,2020,2025,2030,2035,2040,2045
"Alcona County, MI",Total,Total,"10,287","10,310","10,427","10,501","10,548","10,433"
"Alger County, MI",Total,Total,"8,919","8,661","8,443","8,171","7,850","7,471"
"Allegan County, MI",Total,Total,"119,788","125,865","132,039","137,391","142,005","145,603"
"Alpena County, MI",Total,Total,"28,099","27,695","27,361","26,717","25,843","24,629"
"Antrim County, MI",Total,Total,"23,447","23,817","24,193","24,277","24,101","23,637"
"Arenac County, MI",Total,Total,"14,752","14,258","13,720","13,064","12,325","11,534"
"Baraga County, MI",Total,Total,"8,244","7,929","7,600","7,202","6,762","6,235"
"Barry County, MI",Total,Total,"62,023","64,695","67,362","69,503","71,222","72,465"
"Bay County, MI",Total,Total,"102,600","100,187","97,860","94,759","90,999","86,280"
"Benzie County, MI",Total,Total,"17,726","18,193","18,826","19,297","19,621","19,636"
"Berrien County, MI",Total,Total,"153,154","153,754","156,589","158,478","159,500","157,470"
"Branch County, MI",Total,Total,"43,196","43,190","43,509","43,580","43,387","42,601"
"Calhoun County, MI",Total,Total,"133,910","134,855","136,857","138,054","138,504","137,364"
"Cass County, MI",Total,Total,"51,382","52,030","53,143","53,814","54,115","53,537"
"Charlevoix County, MI",Total,Total,"26,137","26,359","26,727","26,853","26,748","26,228"
"Cheboygan County, MI",Total,Total,"25,142","24,978","24,919","24,545","23,862","22,724"
"Chippewa County, MI",Total,Total,"37,209","36,685","36,343","35,733","34,862","33,552"
"Clare County, MI",Total,Total,"30,510","30,317","30,095","29,598","28,906","27,908"
"Clinton County, MI",Total,Total,"80,044","83,079","86,257","88,672","90,401","91,036"
"Crawford County, MI",Total,Total,"14,068","14,433","14,871","15,224","15,488","15,588"
"Delta County, MI",Total,Total,"35,411","34,761","34,327","33,619","32,634","31,183"
"Dickinson County, MI",Total,Total,"24,973","24,577","24,416","24,098","23,674","22,931"
"Eaton County, MI",Total,Total,"109,759","111,772","114,183","115,507","116,095","115,329"
"Emmet County, MI",Total,Total,"33,475","34,184","34,942","35,224","35,054","34,343"
"Genesee County, MI",Total,Total,"402,627","397,025","392,464","384,056","372,673","356,352"
"Gladwin County, MI",Total,Total,"24,931","24,411","23,756","22,854","21,871","20,807"
"Gogebic County, MI",Total,Total,"13,914","13,569","13,384","13,108","12,758","12,199"
"Grand Traverse County, MI",Total,Total,"92,925","95,541","98,599","100,756","102,049","101,906"
"Gratiot County, MI",Total,Total,"40,609","40,110","39,697","39,081","38,234","37,047"
