"Population Projections by Sex, and Totals, 2010-2040 Wisconsin Counties, Final Release",,,,,,,,,,,,,,,,,,,,,
Vintage 2013 projections,,,,,,,,,,,,,,,,,,,,,
County Name,PopMale 2010,PopMale 2015,PopMale 2020,PopMale 2025,PopMale 2030,PopMale 2035,PopMale 2040,PopFem 2010,PopFem 2015,PopFem 2020,PopFem 2025,PopFem 2030,PopFem 2035,PopFem 2040,PopAll 2010,PopAll 2015,PopAll 2020,PopAll 2025,PopAll 2030,PopAll 2035,PopAll 2040
 Adams ," 11,221 ","  11,415 ","  11,865 ","  12,610 ","  13,145 ","  13,130 ","  12,775 ","  9,654 ","  9,995 ","  10,170 ","  10,510 ","  10,685 ","  10,650 ","  10,540 ","  20,875 ","  21,410 ","  22,035 ","  23,120 ","  23,830 ","  23,780 ","  23,315 "
 Ashland ," 8,082 ","  8,140 ","  8,100 ","  8,175 ","  8,125 ","  8,020 ","  7,720 ","  8,075 ","  7,960 ","  7,940 ","  8,025 ","  8,015 ","  7,945 ","  7,595 ","  16,157 ","  16,100 ","  16,040 ","  16,200 ","  16,140 ","  15,965 ","  15,315 "
 Barron ," 22,814 ","  23,320 ","  24,195 ","  25,235 ","  25,930 ","  25,920 ","  25,435 ","  23,056 ","  23,340 ","  23,860 ","  24,370 ","  24,710 ","  24,570 ","  24,110 ","  45,870 ","  46,660 ","  48,055 ","  49,605 ","  50,640 ","  50,490 ","  49,545 "
 Bayfield ," 7,716 ","  7,955 ","  7,835 ","  7,865 ","  7,785 ","  7,530 ","  7,210 ","  7,298 ","  7,405 ","  7,270 ","  7,235 ","  7,075 ","  6,800 ","  6,515 ","  15,014 ","  15,360 ","  15,105 ","  15,100 ","  14,860 ","  14,330 ","  13,725 "
 Brown ," 122,658 ","  126,260 ","  134,190 ","  141,180 ","  147,630 ","  152,060 ","  154,120 ","  125,349 ","  128,290 ","  136,530 ","  144,470 ","  151,910 ","  156,670 ","  158,200 ","  248,007 ","  254,550 ","  270,720 ","  285,650 ","  299,540 ","  308,730 ","  312,320 "
 Buffalo ," 6,859 ","  6,805 ","  6,740 ","  6,735 ","  6,660 ","  6,570 ","  6,330 ","  6,728 ","  6,695 ","  6,745 ","  6,795 ","  6,810 ","  6,810 ","  6,670 ","  13,587 ","  13,500 ","  13,485 ","  13,530 ","  13,470 ","  13,380 ","  13,000 "
 Burnett ," 7,806 ","  7,735 ","  8,175 ","  8,790 ","  9,245 ","  9,300 ","  8,955 ","  7,651 ","  7,690 ","  7,980 ","  8,335 ","  8,555 ","  8,615 ","  8,470 ","  15,457 ","  15,425 ","  16,155 ","  17,125 ","  17,800 ","  17,915 ","  17,425 "
 Calumet ," 24,543 ","  25,185 ","  27,395 ","  29,205 ","  30,835 ","  31,845 ","  32,300 ","  24,428 ","  25,130 ","  27,160 ","  28,805 ","  30,420 ","  31,365 ","  31,910 ","  48,971 ","  50,315 ","  54,555 ","  58,010 ","  61,255 ","  63,210 ","  64,210 "
 Chippewa ," 32,404 ","  33,255 ","  34,520 ","  35,530 ","  36,275 ","  36,705 ","  36,770 ","  30,011 ","  30,630 ","  31,635 ","  32,445 ","  33,125 ","  33,570 ","  33,830 ","  62,415 ","  63,885 ","  66,155 ","  67,975 ","  69,400 ","  70,275 ","  70,600 "
 Clark ," 17,577 ","  18,180 ","  19,035 ","  19,890 ","  20,755 ","  21,465 ","  21,865 ","  17,113 ","  17,400 ","  18,220 ","  19,115 ","  19,995 ","  20,765 ","  21,115 ","  34,690 ","  35,580 ","  37,255 ","  39,005 ","  40,750 ","  42,230 ","  42,980 "
