Origin,Destination
"Fort Lauderdale, United States","New York City, United States"
"New York City, United States","Orlando, United States"
"Chicago, United States","New York City, United States"
"Boston, United States","New York City, United States"
"Los Angeles, United States","New York City, United States"
"Atlanta, United States","New York City, United States"
"New York City, United States","Washington, D.C., United States"
"Dallas, United States","Houston, United States"
"New York City, United States","San Francisco, United States"
"Las Vegas, United States","Los Angeles, United States"
"Los Angeles, United States","Oakland, United States"
"New York City, United States","West Palm Beach, United States"
"Chicago, United States","Los Angeles, United States"
"New York City, United States","Tampa, United States"
"Las Vegas, United States","New York City, United States"
"Miami, United States","New York City, United States"
"Boston, United States","Washington, D.C., United States"
"Dallas, United States","New York City, United States"
"Chicago, United States","Minneapolis, United States"
"Atlanta, United States","Chicago, United States"
"Los Angeles, United States","San Francisco, United States"
"Los Angeles, United States","Phoenix, United States"
"Chicago, United States","Detroit, United States"
"Atlanta, United States","Washington, D.C., United States"
"Chicago, United States","Las Vegas, United States"
"Los Angeles, United States","San Jose, United States"
"Chicago, United States","Orlando, United States"
"Chicago, United States","Phoenix, United States"
"Chicago, United States","Dallas, United States"
"Las Vegas, United States","Phoenix, United States"
"San Diego, United States","San Francisco, United States"
"Los Angeles, United States","Seattle, United States"
"Chicago, United States","Denver, United States"
"Chicago, United States","San Francisco, United States"
"Detroit, United States","New York City, United States"
"Atlanta, United States","Dallas, United States"
"Houston, United States","New York City, United States"
"Baltimore, United States","Chicago, United States"
"Chicago, United States","Washington, D.C., United States"
"Burbank, United States","Oakland, United States"
"Denver, United States","New York City, United States"
"Chicago, United States","St. Louis, United States"
"Las Vegas, United States","San Francisco, United States"
"San Diego, United States","San Jose, United States"
"Atlanta, United States","Philadelphia, United States"
"Chicago, United States","Cleveland, United States"
"San Jose, United States","Santa Ana, United States"
"Boston, United States","Chicago, United States"
"Boston, United States","Orlando, United States"
"Chicago, United States","Philadelphia, United States"
