,,0-4,19-May,20-24,25-44,45-64,65+
Indiana state,"7,106,623","449,397","1,400,085","444,490","1,737,551","1,606,742","1,468,358"
Adams County,"36,896","3,126","8,942","2,183","7,873","7,133","7,639"
Allen County,"411,566","28,857","86,254","24,091","102,151","90,453","79,760"
Bartholomew County,"89,567","5,806","17,840","4,595","22,005","21,667","17,654"
Benton County,"8,071",513,"1,834",306,"1,681","1,812","1,925"
Blackford County,"9,982",577,"1,832",478,"2,051","2,312","2,732"
Boone County,"88,634","5,678","19,971","3,409","22,221","21,906","15,449"
Brown County,"13,742",583,"2,085",468,"2,783","3,305","4,518"
Carroll County,"18,578",975,"3,267",763,"4,179","4,454","4,940"
Cass County,"34,633","2,181","7,140","1,610","7,507","7,878","8,317"
Clark County,"132,487","7,916","24,426","7,478","33,260","32,961","26,446"
Clay County,"25,886","1,445","4,897","1,379","5,645","6,391","6,129"
Clinton County,"30,971","2,251","6,634","1,563","6,941","6,807","6,775"
Crawford County,"9,518",467,"1,693",416,"1,986","2,501","2,455"
Daviess County,"37,684","3,130","8,846","2,211","8,772","7,841","6,884"
Dearborn County,"52,145","2,953","9,823","2,009","11,539","12,200","13,621"
Decatur County,"27,853","1,711","5,500","1,390","6,445","6,512","6,295"
DeKalb County,"44,044","2,597","8,268","1,946","10,402","9,959","10,872"
Delaware County,"110,622","5,717","21,533","14,137","24,339","22,127","22,769"
Dubois County,"45,797","3,106","9,428","1,801","10,562","9,696","11,204"
Elkhart County,"229,379","17,840","50,762","12,724","55,441","47,941","44,671"
Fayette County,"20,400","1,199","3,807",856,"4,502","4,774","5,262"
Floyd County,"81,787","4,678","15,156","4,472","20,150","19,740","17,591"
Fountain County,"14,701",781,"2,905",541,"2,983","3,483","4,008"
Franklin County,"23,760","1,341","4,803",875,"4,894","5,458","6,389"
Fulton County,"19,535","1,129","3,880",902,"4,277","4,646","4,701"
Gibson County,"34,847","2,080","6,676","1,962","7,976","8,214","7,939"
Grant County,"60,326","3,269","11,529","5,043","12,977","13,076","14,432"
Greene County,"29,969","1,677","5,356","1,301","6,766","7,203","7,666"
Hamilton County,"452,289","31,653","91,998","16,801","122,903","104,131","84,803"
Hancock County,"88,710","5,509","17,211","3,762","21,709","20,948","19,571"
Harrison County,"43,872","2,331","7,732","2,258","9,704","10,613","11,234"
Hendricks County,"211,355","13,811","40,913","8,780","55,698","50,842","41,311"
Henry County,"44,144","2,249","7,818","2,190","10,876","10,633","10,378"
Howard County,"79,266","4,738","14,657","3,972","18,446","18,040","19,413"
Huntington County,"34,707","1,936","6,364","2,002","7,815","8,111","8,479"
Jackson County,"45,798","2,776","8,611","2,470","10,745","10,912","10,284"
Jasper County,"37,209","2,392","7,485","1,921","8,412","8,274","8,725"
Jay County,"20,724","1,431","4,569","1,170","4,747","4,424","4,383"
Jefferson County,"31,881","1,695","5,996","1,998","7,071","7,580","7,541"
Jennings County,"26,897","1,593","5,184","1,291","6,394","6,294","6,141"
Johnson County,"184,715","11,909","35,997","9,656","47,829","43,529","35,795"
