,ZoneID,GeoName,LineCode,Description,Unit,2019
1,186,"Boone, IL",30.0,Per capita personal income (dollars) 4/,Dollars,48062
4,125,"Cook, IL",30.0,Per capita personal income (dollars) 4/,Dollars,65817
7,129,"DeKalb, IL",30.0,Per capita personal income (dollars) 4/,Dollars,41918
10,201,"DuPage, IL",30.0,Per capita personal income (dollars) 4/,Dollars,76331
13,158,"Kane, IL",30.0,Per capita personal income (dollars) 4/,Dollars,52654
16,122,"Kendall, IL",30.0,Per capita personal income (dollars) 4/,Dollars,50577
19,203,"Lake, IL",30.0,Per capita personal income (dollars) 4/,Dollars,82580
22,128,"Lee, IL",30.0,Per capita personal income (dollars) 4/,Dollars,42167
25,215,"McHenry, IL",30.0,Per capita personal income (dollars) 4/,Dollars,57126
28,175,"Ogle, IL",30.0,Per capita personal income (dollars) 4/,Dollars,46704
31,150,"Stephenson, IL",30.0,Per capita personal income (dollars) 4/,Dollars,43106
34,195,"Will, IL",30.0,Per capita personal income (dollars) 4/,Dollars,54456
37,174,"Winnebago, IL",30.0,Per capita personal income (dollars) 4/,Dollars,43972
40,114,"Lake, IN",30.0,Per capita personal income (dollars) 4/,Dollars,45974
43,140,"Porter, IN",30.0,Per capita personal income (dollars) 4/,Dollars,54814
46,111,"Alger, MI",30.0,Per capita personal income (dollars) 4/,Dollars,34032
49,120,"Baraga, MI",30.0,Per capita personal income (dollars) 4/,Dollars,34274
52,218,"Delta, MI",30.0,Per capita personal income (dollars) 4/,Dollars,40957
55,194,"Dickinson, MI",30.0,Per capita personal income (dollars) 4/,Dollars,48949
58,130,"Gogebic, MI",30.0,Per capita personal income (dollars) 4/,Dollars,43769
61,213,"Houghton, MI",30.0,Per capita personal income (dollars) 4/,Dollars,38870
64,118,"Iron, MI",30.0,Per capita personal income (dollars) 4/,Dollars,45446
67,210,"Keweenaw, MI",30.0,Per capita personal income (dollars) 4/,Dollars,48537
70,103,"Marquette, MI",30.0,Per capita personal income (dollars) 4/,Dollars,40284
73,102,"Menominee, MI",30.0,Per capita personal income (dollars) 4/,Dollars,43943
76,119,"Ontonagon, MI",30.0,Per capita personal income (dollars) 4/,Dollars,41340
79,110,"Schoolcraft, MI",30.0,Per capita personal income (dollars) 4/,Dollars,40822
82,112,"Aitkin, MN",30.0,Per capita personal income (dollars) 4/,Dollars,41614
85,166,"Anoka, MN",30.0,Per capita personal income (dollars) 4/,Dollars,52722
88,172,"Benton, MN",30.0,Per capita personal income (dollars) 4/,Dollars,45690
91,196,"Carlton, MN",30.0,Per capita personal income (dollars) 4/,Dollars,44132
94,229,"Carver, MN",30.0,Per capita personal income (dollars) 4/,Dollars,73023
97,134,"Chisago, MN",30.0,Per capita personal income (dollars) 4/,Dollars,50229
100,190,"Cook, MN",30.0,Per capita personal income (dollars) 4/,Dollars,54021
103,163,"Dakota, MN",30.0,Per capita personal income (dollars) 4/,Dollars,61977
106,113,"Dodge, MN",30.0,Per capita personal income (dollars) 4/,Dollars,46516
