,ZoneID,STNAME,CTYNAME,POPESTIMATE2019
0,186,Illinois,Boone County,53544
1,125,Illinois,Cook County,5150233
2,129,Illinois,DeKalb County,104897
3,201,Illinois,DuPage County,922921
4,158,Illinois,Kane County,532403
5,122,Illinois,Kendall County,128990
6,203,Illinois,Lake County,696535
7,128,Illinois,Lee County,34096
8,215,Illinois,McHenry County,307774
9,175,Illinois,Ogle County,50643
10,150,Illinois,Stephenson County,44498
11,195,Illinois,Will County,690743
12,174,Illinois,Winnebago County,282572
13,114,Indiana,Lake County,485493
14,140,Indiana,Porter County,170389
15,111,Michigan,Alger County,9108
16,120,Michigan,Baraga County,8209
17,218,Michigan,Delta County,35784
18,194,Michigan,Dickinson County,25239
19,130,Michigan,Gogebic County,13975
20,213,Michigan,Houghton County,35684
21,118,Michigan,Iron County,11066
22,210,Michigan,Keweenaw County,2116
23,103,Michigan,Marquette County,66699
24,102,Michigan,Menominee County,22780
25,119,Michigan,Ontonagon County,5720
26,110,Michigan,Schoolcraft County,8094
27,112,Minnesota,Aitkin County,15886
28,166,Minnesota,Anoka County,356921
29,172,Minnesota,Benton County,40889
30,196,Minnesota,Carlton County,35871
31,229,Minnesota,Carver County,105089
32,134,Minnesota,Chisago County,56579
33,190,Minnesota,Cook County,5463
34,163,Minnesota,Dakota County,429021
35,113,Minnesota,Dodge County,20934
36,105,Minnesota,Fillmore County,21067
37,144,Minnesota,Goodhue County,46340
38,209,Minnesota,Hennepin County,1265843
39,226,Minnesota,Houston County,18600
40,171,Minnesota,Isanti County,40596
41,154,Minnesota,Kanabec County,16337
42,165,Minnesota,Lake County,10641
43,104,Minnesota,Mille Lacs County,26277
44,168,Minnesota,Mower County,40062
45,117,Minnesota,Olmsted County,158293
46,199,Minnesota,Pine County,29579
47,170,Minnesota,Ramsey County,550321
48,180,Minnesota,Rice County,66972
49,188,Minnesota,St. Louis County,199070
50,127,Minnesota,Scott County,149013
51,182,Minnesota,Sherburne County,97238
52,216,Minnesota,Steele County,36649
53,178,Minnesota,Wabasha County,21627
54,179,Minnesota,Washington County,262440
55,136,Minnesota,Winona County,50484
56,123,Minnesota,Wright County,138377
57,164,Wisconsin,Adams County,20220
58,131,Wisconsin,Ashland County,15562
59,176,Wisconsin,Barron County,45244
60,145,Wisconsin,Bayfield County,15036
61,200,Wisconsin,Brown County,264542
62,224,Wisconsin,Buffalo County,13031
63,192,Wisconsin,Burnett County,15414
64,189,Wisconsin,Calumet County,50089
65,193,Wisconsin,Chippewa County,64658
66,219,Wisconsin,Clark County,34774
67,217,Wisconsin,Columbia County,57532
68,152,Wisconsin,Crawford County,16131
69,187,Wisconsin,Dane County,546695
70,185,Wisconsin,Dodge County,87839
71,228,Wisconsin,Door County,27668
72,197,Wisconsin,Douglas County,43150
73,108,Wisconsin,Dunn County,45368
74,153,Wisconsin,Eau Claire County,104646
75,173,Wisconsin,Florence County,4295
76,147,Wisconsin,Fond du Lac County,103403
77,156,Wisconsin,Forest County,9004
78,214,Wisconsin,Grant County,51439
79,161,Wisconsin,Green County,36960
80,115,Wisconsin,Green Lake County,18913
81,208,Wisconsin,Iowa County,23678
82,177,Wisconsin,Iron County,5687
83,109,Wisconsin,Jackson County,20643
84,191,Wisconsin,Jefferson County,84769
85,221,Wisconsin,Juneau County,26687
86,124,Wisconsin,Kenosha County,169561
87,148,Wisconsin,Kewaunee County,20434
88,107,Wisconsin,La Crosse County,118016
89,137,Wisconsin,Lafayette County,16665
90,149,Wisconsin,Langlade County,19189
91,206,Wisconsin,Lincoln County,27593
92,227,Wisconsin,Manitowoc County,78981
93,169,Wisconsin,Marathon County,135692
94,211,Wisconsin,Marinette County,40350
95,198,Wisconsin,Marquette County,15574
96,225,Wisconsin,Menominee County,4556
97,126,Wisconsin,Milwaukee County,945726
98,181,Wisconsin,Monroe County,46253
99,155,Wisconsin,Oconto County,37930
100,132,Wisconsin,Oneida County,35595
101,162,Wisconsin,Outagamie County,187885
102,141,Wisconsin,Ozaukee County,89221
103,207,Wisconsin,Pepin County,7287
104,106,Wisconsin,Pierce County,42754
105,160,Wisconsin,Polk County,43783
106,146,Wisconsin,Portage County,70772
107,212,Wisconsin,Price County,13351
108,183,Wisconsin,Racine County,196311
109,202,Wisconsin,Richland County,17252
110,151,Wisconsin,Rock County,163354
111,222,Wisconsin,Rusk County,14178
112,220,Wisconsin,St. Croix County,90687
113,101,Wisconsin,Sauk County,64442
114,157,Wisconsin,Sawyer County,16558
115,184,Wisconsin,Shawano County,40899
116,142,Wisconsin,Sheboygan County,115340
117,167,Wisconsin,Taylor County,20343
118,159,Wisconsin,Trempealeau County,29649
119,121,Wisconsin,Vernon County,30822
120,139,Wisconsin,Vilas County,22195
121,116,Wisconsin,Walworth County,103868
122,135,Wisconsin,Washburn County,15720
123,143,Wisconsin,Washington County,136034
124,223,Wisconsin,Waukesha County,404198
125,138,Wisconsin,Waupaca County,50990
126,133,Wisconsin,Waushara County,24443
127,205,Wisconsin,Winnebago County,171907
128,204,Wisconsin,Wood County,72999
