,ZoneID,GeoName,LineCode,Description,Unit,2019
0,186,"Boone, IL",20.0,Population (persons) 3/,Number of persons,53281
3,125,"Cook, IL",20.0,Population (persons) 3/,Number of persons,5145326
6,129,"DeKalb, IL",20.0,Population (persons) 3/,Number of persons,105131
9,201,"DuPage, IL",20.0,Population (persons) 3/,Number of persons,922761
12,158,"Kane, IL",20.0,Population (persons) 3/,Number of persons,532293
15,122,"Kendall, IL",20.0,Population (persons) 3/,Number of persons,128900
18,203,"Lake, IL",20.0,Population (persons) 3/,Number of persons,697134
21,128,"Lee, IL",20.0,Population (persons) 3/,Number of persons,34061
24,215,"McHenry, IL",20.0,Population (persons) 3/,Number of persons,307439
27,175,"Ogle, IL",20.0,Population (persons) 3/,Number of persons,50660
30,150,"Stephenson, IL",20.0,Population (persons) 3/,Number of persons,44371
33,195,"Will, IL",20.0,Population (persons) 3/,Number of persons,690176
36,174,"Winnebago, IL",20.0,Population (persons) 3/,Number of persons,282465
39,114,"Lake, IN",20.0,Population (persons) 3/,Number of persons,486244
42,140,"Porter, IN",20.0,Population (persons) 3/,Number of persons,170599
45,111,"Alger, MI",20.0,Population (persons) 3/,Number of persons,9078
48,120,"Baraga, MI",20.0,Population (persons) 3/,Number of persons,8245
51,218,"Delta, MI",20.0,Population (persons) 3/,Number of persons,35744
54,194,"Dickinson, MI",20.0,Population (persons) 3/,Number of persons,25336
57,130,"Gogebic, MI",20.0,Population (persons) 3/,Number of persons,13971
60,213,"Houghton, MI",20.0,Population (persons) 3/,Number of persons,35709
63,118,"Iron, MI",20.0,Population (persons) 3/,Number of persons,11053
66,210,"Keweenaw, MI",20.0,Population (persons) 3/,Number of persons,2085
69,103,"Marquette, MI",20.0,Population (persons) 3/,Number of persons,66689
72,102,"Menominee, MI",20.0,Population (persons) 3/,Number of persons,22772
75,119,"Ontonagon, MI",20.0,Population (persons) 3/,Number of persons,5713
78,110,"Schoolcraft, MI",20.0,Population (persons) 3/,Number of persons,8081
81,112,"Aitkin, MN",20.0,Population (persons) 3/,Number of persons,15841
84,166,"Anoka, MN",20.0,Population (persons) 3/,Number of persons,357538
87,172,"Benton, MN",20.0,Population (persons) 3/,Number of persons,40938
90,196,"Carlton, MN",20.0,Population (persons) 3/,Number of persons,35913
93,229,"Carver, MN",20.0,Population (persons) 3/,Number of persons,105128
96,134,"Chisago, MN",20.0,Population (persons) 3/,Number of persons,56543
99,190,"Cook, MN",20.0,Population (persons) 3/,Number of persons,5416
102,163,"Dakota, MN",20.0,Population (persons) 3/,Number of persons,429453
105,113,"Dodge, MN",20.0,Population (persons) 3/,Number of persons,20976
108,105,"Fillmore, MN",20.0,Population (persons) 3/,Number of persons,21081
111,144,"Goodhue, MN",20.0,Population (persons) 3/,Number of persons,46391
114,209,"Hennepin, MN",20.0,Population (persons) 3/,Number of persons,1265159
117,226,"Houston, MN",20.0,Population (persons) 3/,Number of persons,18667
120,171,"Isanti, MN",20.0,Population (persons) 3/,Number of persons,40447
123,154,"Kanabec, MN",20.0,Population (persons) 3/,Number of persons,16357
126,165,"Lake, MN",20.0,Population (persons) 3/,Number of persons,10625
129,104,"Mille Lacs, MN",20.0,Population (persons) 3/,Number of persons,26166
132,168,"Mower, MN",20.0,Population (persons) 3/,Number of persons,40040
