,FIPS,Home_Pop
0,160010001001,2
1,160010002011,1
2,160010002013,7
3,160010002021,1
4,160010003022,1
5,160010003031,2
6,160010003041,6
7,160010003043,3
8,160010004001,1
9,160010004002,2
10,160010004003,7
11,160010004004,2
12,160010004005,1
13,160010005004,1
14,160010006002,8
15,160010006003,7
16,160010006004,7
17,160010006005,6
18,160010006006,9
19,160010007011,2
20,160010007012,5
21,160010007013,6
22,160010007021,2
23,160010008021,1
24,160010008024,2
25,160010008032,1
26,160010008034,3
27,160010008041,1
28,160010008042,5
29,160010008043,3
30,160010008051,1
31,160010008052,2
32,160010009001,7
33,160010009002,32
34,160010009003,1
35,160010010001,11
36,160010010002,15
37,160010010003,1
38,160010010004,1
39,160010011001,2
40,160010011002,5
41,160010011003,1
42,160010012021,1
43,160010012022,2
44,160010014002,9
45,160010015001,5
46,160010015002,1
47,160010015003,4
48,160010016001,4
49,160010018002,1
50,160010021002,2
51,160010022211,2
52,160010022212,6
53,160010022213,1
54,160010022221,6
55,160010022231,2
56,160010022241,4
57,160010022242,10
58,160010022243,4
59,160010023021,1
60,160010023022,3
61,160010023103,1
62,160010023104,3
63,160010024102,6
64,160010024113,1
65,160010024131,3
66,160010101001,8
67,160010102011,1
68,160010102012,30
69,160010102013,10
70,160010102211,22
71,160010102231,15
72,160010102232,7
73,160010102241,5
74,160010102252,2
75,160010103131,6
76,160010103132,5
77,160010103133,13
78,160010103211,2
79,160010103212,2
80,160010103223,1
81,160010103311,6
82,160010103312,7
83,160010103313,7
84,160010103321,13
85,160010103332,1
86,160010103341,1
87,160010103351,46
88,160010103352,5
89,160010103353,4
90,160010103354,1
91,160010104012,13
92,160010104013,7
93,160010104021,20
94,160010104022,4
95,160010105011,7
96,160010105031,5
97,160010105041,1
98,160010105042,1
99,160050002003,1
100,160050004001,1
101,160050005001,1
102,160050006001,1
103,160050016031,2
104,160050016032,2
105,160079501003,2
106,160099400004,3
107,160099400005,1
108,160099501002,1
109,160119504001,1
110,160119504004,1
111,160119504005,2
112,160139602001,1
113,160139602002,1
114,160139602003,4
115,160139603001,6
116,160139603002,3
117,160139603003,2
118,160139605001,2
119,160179502002,1
120,160179502003,2
121,160179502005,1
122,160179502006,8
123,160179503002,1
124,160179504001,9
125,160179504002,2
126,160179504003,3
127,160179504005,1
128,160179504006,2
129,160179505003,8
130,160179507001,6
131,160179507003,32
132,160179508001,1
133,160179508002,5
134,160179508003,4
135,160179508004,1
136,160179509001,5
137,160179509002,4
138,160179509003,11
139,160199703003,1
140,160199704032,1
141,160199705011,1
142,160199710006,20
143,160199712002,1
144,160199713024,1
145,160199714001,1
146,160199714002,4
147,160199714003,4
148,160270201001,1
149,160270203002,1
150,160270204011,6
151,160270204012,11
152,160270204013,5
153,160270204021,1
154,160270204022,2
155,160270204024,3
156,160270204025,2
157,160270205011,1
158,160270205012,1
159,160270205031,3
160,160270205042,1
161,160270205043,1
162,160270206011,8
163,160270206021,1
164,160270206025,3
165,160270207001,1
166,160270207002,5
167,160270209011,2
168,160270209013,4
169,160270209021,13
170,160270209022,5
171,160270209023,3
172,160270210011,6
173,160270210021,1
174,160270210022,2
175,160270210024,5
176,160270211001,2
177,160270211002,6
178,160270211003,5
179,160270212001,35
180,160270212002,5
181,160270212003,1
182,160270213002,2
183,160270215001,1
184,160270215003,1
185,160270215004,1
186,160270215005,5
187,160270217002,46
188,160270217003,4
189,160270218003,4
190,160270219011,6
191,160270219012,3
192,160270219031,4
193,160270219032,5
194,160270221003,4
195,160270221004,7
196,160270222003,3
197,160270223002,6
198,160270224001,2
199,160270224002,1
200,160359400003,1
201,160359400007,2
202,160359400008,2
203,160359701002,1
204,160359701005,5
205,160399602003,13
206,160399603001,1
207,160399603003,8
208,160399604003,2
209,160399605001,3
210,160419702001,3
211,160419702003,3
212,160419702004,1
213,160419702005,3
214,160459601001,1
215,160459602002,4
216,160459602003,2
217,160459603002,1
