,FIPS,Home_Pop
0,160010001003,1
1,160010002011,7
2,160010002012,2
3,160010002013,2
4,160010002021,1
5,160010002022,1
6,160010002023,12
7,160010002024,3
8,160010003021,1
9,160010003031,1
10,160010003041,1
11,160010003042,3
12,160010003043,3
13,160010004002,1
14,160010004003,5
15,160010004004,1
16,160010004005,1
17,160010005001,1
18,160010005002,1
19,160010005005,1
20,160010006002,1
21,160010006003,1
22,160010006004,2
23,160010006005,4
24,160010006006,3
25,160010007011,3
26,160010007012,2
27,160010007013,1
28,160010007021,5
29,160010008021,3
30,160010008022,6
31,160010008023,6
32,160010008024,2
33,160010008033,3
34,160010008034,3
35,160010008041,3
36,160010008042,13
37,160010008043,1
38,160010008051,11
39,160010008052,6
40,160010009001,4
41,160010009002,1
42,160010009003,1
43,160010009004,3
44,160010010001,5
45,160010010002,1
46,160010010003,2
47,160010010004,1
48,160010011001,5
49,160010011002,3
50,160010011003,2
51,160010012012,1
52,160010012021,1
53,160010012022,3
54,160010012023,2
55,160010014004,1
56,160010015002,1
57,160010015003,1
58,160010016002,3
59,160010017001,1
60,160010017003,1
61,160010017004,1
62,160010018001,4
63,160010018003,1
64,160010019001,2
65,160010021002,2
66,160010022211,1
67,160010022212,2
68,160010022213,6
69,160010022221,11
70,160010022231,3
71,160010022241,5
72,160010022242,8
73,160010022243,2
74,160010023021,1
75,160010023022,4
76,160010023023,1
77,160010023024,2
78,160010023102,1
79,160010023103,1
80,160010023104,1
81,160010023121,4
82,160010023132,3
83,160010024101,1
84,160010024104,2
85,160010024112,2
86,160010024121,5
87,160010024122,4
88,160010024132,3
89,160010101001,11
90,160010102012,15
91,160010102013,5
92,160010102211,20
93,160010102212,2
94,160010102231,8
95,160010102232,13
96,160010102241,13
97,160010102251,2
98,160010102252,2
99,160010102253,6
100,160010103131,7
101,160010103132,9
102,160010103133,17
103,160010103211,9
104,160010103212,1
105,160010103221,1
106,160010103223,2
107,160010103311,24
108,160010103312,5
109,160010103313,1
110,160010103321,8
111,160010103322,6
112,160010103331,1
113,160010103332,4
114,160010103333,5
115,160010103334,5
116,160010103341,8
117,160010103342,1
118,160010103351,24
119,160010103352,4
120,160010103353,10
121,160010103354,2
122,160010104012,5
123,160010104013,8
124,160010104021,22
125,160010104022,8
126,160010105011,1
127,160010105031,10
128,160010105041,8
129,160010105042,7
