,FIPS,Home_Pop
0,160010001003,3
1,160010002011,9
2,160010002013,6
3,160010002021,5
4,160010003021,1
5,160010003022,4
6,160010003041,6
7,160010003042,11
8,160010003043,4
9,160010004001,4
10,160010004002,7
11,160010004003,9
12,160010004004,5
13,160010004005,2
14,160010005002,1
15,160010005004,1
16,160010006002,3
17,160010006003,2
18,160010006004,4
19,160010006005,1
20,160010006006,9
21,160010007011,3
22,160010007012,2
23,160010007013,2
24,160010008022,12
25,160010008024,4
26,160010008033,7
27,160010008034,1
28,160010008051,9
29,160010008052,8
30,160010009001,1
31,160010009002,8
32,160010009003,2
33,160010009004,1
34,160010010001,7
35,160010010002,12
36,160010010003,5
37,160010010004,1
38,160010011001,5
39,160010011002,8
40,160010011003,3
41,160010012011,1
42,160010012021,5
43,160010012023,1
44,160010014001,1
45,160010014002,4
46,160010015001,2
47,160010015002,4
48,160010015003,1
49,160010016001,9
50,160010016002,3
51,160010016003,3
52,160010018003,1
53,160010019001,5
54,160010020004,1
55,160010021002,9
56,160010022211,4
57,160010022212,12
58,160010022213,3
59,160010022221,4
60,160010022231,2
61,160010022241,12
62,160010022242,10
63,160010022243,13
64,160010023021,2
65,160010023022,11
66,160010023023,1
67,160010023024,1
68,160010024101,1
69,160010024102,26
70,160010024103,2
71,160010024121,2
72,160010024122,1
73,160010024131,4
74,160010024134,8
75,160010101001,6
76,160010102011,6
77,160010102012,38
78,160010102013,18
79,160010102211,19
80,160010102231,21
81,160010102232,22
82,160010102241,3
83,160010102251,1
84,160010102252,21
85,160010103131,9
86,160010103132,2
87,160010103133,11
88,160010103211,6
89,160010103212,5
90,160010103222,1
91,160010103223,1
92,160010103311,8
93,160010103312,3
94,160010103313,9
95,160010103321,10
96,160010103334,4
97,160010103341,1
98,160010103342,2
99,160010103351,67
100,160010103352,20
101,160010103353,7
102,160010103354,3
103,160010104011,3
104,160010104012,17
105,160010104013,5
106,160010104021,42
107,160010104022,17
108,160010105011,6
109,160010105041,2
110,160050002003,1
111,160050015002,3
112,160050015003,20
113,160050015005,5
114,160050016021,1
115,160050016031,11
116,160050016032,6
117,160079501003,1
118,160099400002,1
119,160099400003,1
120,160099400004,3
121,160099400005,2
122,160099501001,1
123,160099501002,2
124,160119502002,1
125,160119504001,7
126,160119504002,1
127,160119504003,2
128,160119504004,3
129,160119504005,8
130,160139602003,6
131,160139603001,17
132,160139603002,3
133,160139603003,15
134,160139605001,3
135,160139605002,1
136,160179502001,1
137,160179502004,2
138,160179502005,2
139,160179503002,1
140,160179504001,6
141,160179504002,9
142,160179504003,7
143,160179504004,4
144,160179504005,3
145,160179504006,9
146,160179505003,4
147,160179506002,6
148,160179507001,3
149,160179507003,28
150,160179508002,2
151,160179508003,3
152,160179508004,2
153,160179509001,14
154,160179509002,15
155,160179509003,25
156,160199701002,1
157,160199709003,2
158,160199710006,8
159,160199711005,2
160,160199714002,1
161,160199714003,4
162,160270201001,3
163,160270203002,1
164,160270203004,1
165,160270204011,8
166,160270204012,44
167,160270204013,16
168,160270204014,3
169,160270204024,3
170,160270205011,2
171,160270205041,2
172,160270205043,3
173,160270206011,3
174,160270206021,1
175,160270206024,1
176,160270206025,8
177,160270206026,4
178,160270207002,2
179,160270209011,22
180,160270209012,1
181,160270209013,9
182,160270209021,10
183,160270209022,13
184,160270209023,29
185,160270210011,21
186,160270210021,4
187,160270210022,7
188,160270210023,4
189,160270210024,5
190,160270211001,5
191,160270211002,8
192,160270211003,23
193,160270212001,24
194,160270212002,2
195,160270212003,1
196,160270213001,2
197,160270213002,2
198,160270215001,1
199,160270215004,1
200,160270215005,8
201,160270217002,45
202,160270217003,10
203,160270218001,3
204,160270218002,3
205,160270218003,4
206,160270219011,2
207,160270219031,12
208,160270219032,3
209,160270219033,3
210,160270219041,1
211,160270221001,7
212,160270221002,3
213,160270221003,13
214,160270221004,10
215,160270222003,4
216,160270223001,3
217,160270223002,6
218,160270223003,4
219,160270224001,4
220,160270224002,6
221,160319505003,1
222,160319506002,1
223,160359400001,1
224,160359400002,1
225,160359400005,1
226,160359400007,1
227,160359400008,1
228,160359701003,4
229,160359701005,6
230,160399601003,1
231,160399602003,6
232,160399603001,1
233,160399603002,6
234,160399603003,5
235,160399604003,2
236,160419701001,1
237,160419701004,1
238,160419702001,8
239,160419702002,1
240,160419702003,10
241,160419702004,3
242,160419702005,6
243,160459602002,8
244,160459602003,1
245,160459603001,3
246,160459603002,5
247,160459603003,1
248,160459603005,3
249,160479601004,1
250,160479601006,1
251,160499400002,1
252,160499400003,2
253,160499400004,2
254,160499400005,6
255,160519604004,1
256,160550001001,2
257,160550001002,6
258,160550001003,14
259,160550002001,7
260,160550002002,3
261,160550002003,7
262,160550002004,26
263,160550002005,4
264,160550003011,7
265,160550003012,10
266,160550003022,6
267,160550004011,41
268,160550004012,14
269,160550004021,30
270,160550004022,17
271,160550005001,32
272,160550005002,6
273,160550005003,6
274,160550006012,2
275,160550006021,4
276,160550006023,1
277,160550007001,4
278,160550007002,6
279,160550007003,13
280,160550008001,24
281,160550008002,4
282,160550009002,9
283,160550009003,12
284,160550009004,2
285,160550010011,1
286,160550010012,1
287,160550010021,7
288,160550010022,1
289,160550011001,1
290,160550012001,1
291,160550012003,32
292,160550013002,1
293,160550014001,27
294,160550014002,4
295,160550015001,2
296,160550015003,1
297,160550016002,4
298,160550017001,13
299,160550017002,7
300,160550017003,10
301,160550018002,5
302,160550018003,11
303,160550018004,1
304,160550020001,4
305,160550020002,3
306,160559400001,4
307,160559400002,9
308,160559400003,4
309,160570051001,8
310,160570051002,3
311,160570051004,4
312,160570052003,1
313,160570052004,2
314,160570052005,2
315,160570053003,2
316,160570053004,7
317,160570053005,1
318,160570054001,2
319,160570054002,3
320,160570054003,4
321,160570054004,1
322,160570057001,12
323,160570057002,1
324,160570057003,15
325,160619400011,4
326,160619400012,2
327,160619400021,1
328,160639501001,4
329,160639501002,8
330,160639501003,4
331,160639501004,4
332,160659503021,1
333,160659503022,3
334,160659504001,4
335,160679702003,1
336,160679702004,7
337,160679704001,2
338,160699400005,4
339,160699603001,4
340,160699603002,14
341,160699604003,1
342,160699604004,10
343,160699605002,2
344,160699605003,3
345,160699606001,1
346,160699606004,8
347,160699607001,71
348,160699607003,1
349,160699607004,1
350,160699607005,2
351,160699608001,5
352,160699608002,16
353,160699608003,8
354,160699610002,1
355,160699610003,1
356,160739501011,4
357,160739501012,2
358,160739501022,1
359,160739502001,2
360,160759601002,4
361,160759601003,1
362,160759601005,1
363,160759602001,2
364,160759602002,8
365,160759602003,6
366,160759603001,2
367,160759603003,1
368,160759603004,1
