,FIPS,Home_Pop
0,160010002011,4
1,160010002012,2
2,160010002022,2
3,160010002023,7
4,160010002024,3
5,160010003022,1
6,160010003041,1
7,160010003042,3
8,160010003043,4
9,160010004001,3
10,160010004002,6
11,160010004003,4
12,160010004004,3
13,160010004005,3
14,160010005002,4
15,160010005003,2
16,160010005004,1
17,160010006002,1
18,160010006004,2
19,160010006005,5
20,160010006006,5
21,160010007012,1
22,160010007021,6
23,160010008024,5
24,160010008031,4
25,160010008032,3
26,160010008033,2
27,160010008034,3
28,160010008041,2
29,160010008042,3
30,160010008043,1
31,160010008051,15
32,160010008052,8
33,160010009001,5
34,160010009002,1
35,160010009003,2
36,160010009004,25
37,160010010001,4
38,160010010002,6
39,160010010003,6
40,160010011001,16
41,160010011002,8
42,160010011003,5
43,160010012011,16
44,160010012021,1
45,160010012022,2
46,160010014001,1
47,160010015001,1
48,160010016001,3
49,160010016002,5
50,160010017001,2
51,160010017004,2
52,160010018001,7
53,160010018002,1
54,160010018003,3
55,160010019001,1
56,160010021002,13
57,160010022211,7
58,160010022212,11
59,160010022213,13
60,160010022221,9
61,160010022231,3
62,160010022241,7
63,160010022242,11
64,160010022243,4
65,160010023021,5
66,160010023022,8
67,160010023023,2
68,160010023024,5
69,160010023101,1
70,160010023103,7
71,160010023132,2
72,160010024103,1
73,160010024104,1
74,160010024111,2
75,160010024121,1
76,160010024131,7
77,160010024132,4
78,160010101001,9
79,160010102011,4
80,160010102012,27
81,160010102013,22
82,160010102211,16
83,160010102231,28
84,160010102232,22
85,160010102241,4
86,160010102251,2
87,160010102252,7
88,160010102253,9
89,160010103131,1
90,160010103132,1
91,160010103133,16
92,160010103211,1
93,160010103221,4
94,160010103223,2
95,160010103311,38
96,160010103312,4
97,160010103313,13
98,160010103321,7
99,160010103322,3
100,160010103332,10
101,160010103333,2
102,160010103334,6
103,160010103341,12
104,160010103342,2
105,160010103351,74
106,160010103352,10
107,160010103353,21
108,160010104011,2
109,160010104012,3
110,160010104013,24
111,160010104014,4
112,160010104021,44
113,160010104022,17
114,160010105011,3
115,160010105031,2
116,160010105041,3
117,160010105042,3
118,160039502001,2
119,160050002003,4
120,160050014001,1
121,160050016031,3
122,160050016032,3
123,160050017001,2
124,160099400001,2
125,160099400002,6
126,160099400003,2
127,160099400004,1
128,160099400005,2
129,160099501001,1
130,160099501002,15
131,160099501003,4
132,160119400002,10
133,160119503001,5
134,160119504001,6
135,160119504002,4
136,160119504004,3
137,160119504005,9
138,160119506003,2
139,160139601003,6
140,160139602002,1
141,160139603001,18
142,160139603002,8
143,160139603003,34
144,160139605001,1
145,160139605002,6
146,160159502004,2
147,160179501002,10
