,FIPS,Work_Pop
0,160010001001,3
1,160010001002,43
2,160010001003,31
3,160010002011,4
4,160010003022,1
5,160010003041,2
6,160010004002,1
7,160010004003,1
8,160010006001,2
9,160010006002,1
10,160010006003,1
11,160010006004,4
12,160010006005,3
13,160010006006,6
14,160010007011,1
15,160010007012,1
16,160010007013,5
17,160010008041,2
18,160010008042,3
19,160010009001,9
20,160010009002,2
21,160010009003,1
22,160010009004,1
23,160010010001,3
24,160010010002,1
25,160010010004,1
26,160010011001,4
27,160010011002,1
28,160010011003,1
29,160010012021,1
30,160010012022,2
31,160010014001,1
32,160010015002,2
33,160010015003,2
34,160010016001,1
35,160010016002,2
36,160010016003,1
37,160010018001,6
38,160010019001,1
39,160010020001,3
40,160010020002,3
41,160010020003,1
42,160010021001,10
43,160010021002,1
44,160010022213,3
45,160010022241,25
46,160010022242,10
47,160010022243,19
48,160010023021,1
49,160010023022,7
50,160010023023,3
51,160010023024,2
52,160010023102,2
53,160010023131,11
54,160010023132,1
55,160010024101,3
56,160010024102,4
57,160010024103,3
58,160010024104,3
59,160010024122,1
60,160010024132,5
61,160010102012,2
62,160010102013,2
63,160010102211,8
64,160010102212,2
65,160010102231,3
66,160010102252,1
67,160010102253,1
68,160010103131,1
69,160010103132,2
70,160010103133,14
71,160010103211,19
72,160010103212,1
73,160010103221,3
74,160010103222,1
75,160010103223,1
76,160010103311,4
77,160010103312,7
78,160010103313,1
79,160010103321,2
80,160010103331,1
81,160010103334,1
82,160010103341,1
83,160010103342,1
84,160010103351,2
85,160010103352,1
86,160010104011,2
87,160010104012,5
88,160010104013,1
89,160010104014,2
90,160010104022,1
91,160010105011,2
92,160010105031,9
93,160050011022,1
94,160050013001,1
95,160099400005,5
96,160099501001,2
97,160099501002,4
98,160099501003,3
99,160099501004,2
100,160119501003,1
101,160119501004,1
102,160139601003,1
103,160139601004,1
104,160139602001,2
105,160139603001,1
106,160139603003,1
107,160139605002,2
108,160179502005,1
109,160179502006,1
110,160179503002,4
111,160179503003,2
112,160179503004,1
113,160179504001,1
114,160179504003,1
115,160179504005,5
116,160179504006,4
117,160179505004,2
118,160179506002,1
119,160179507002,1
120,160179508002,2
121,160179509002,1
122,160199705021,1
123,160199706011,1
124,160199706031,5
125,160199710003,1
126,160199714003,1
127,160270201001,2
128,160270202003,1
129,160270203001,1
130,160270204011,3
131,160270204013,1
132,160270204023,1
133,160270204025,1
134,160270205031,4
135,160270205042,4
136,160270206023,1
137,160270207002,1
138,160270209021,2
139,160270209023,1
140,160270210011,3
141,160270210021,4
142,160270210024,6
143,160270211001,3
144,160270211002,2
145,160270211003,2
146,160270212002,1
147,160270213001,2
148,160270213002,3
149,160270215001,1
150,160270215002,3
151,160270216001,3
152,160270216002,5
153,160270217001,6
154,160270217002,3
155,160270217003,2
156,160270218001,16
157,160270218002,44
158,160270218003,12
159,160270219011,1
160,160270219031,1
161,160359400003,1
162,160359400004,1
163,160399604001,1
164,160399605001,2
165,160459601001,1
166,160459602003,1
167,160479602003,1
168,160499400001,1
169,160499602002,1
170,160539705002,1
171,160550003022,2
172,160550004011,4
173,160550004021,10
174,160550005001,4
175,160550005002,2
176,160550006011,1
177,160550006012,2
178,160550006021,1
179,160550006022,2
180,160550007001,3
181,160550007002,3
182,160550007003,9
183,160550008001,7
184,160550008002,1
185,160550009002,20
186,160550009003,5
187,160550009004,6
188,160550010011,2
189,160550010012,5
190,160550010022,1
191,160550011001,4
192,160550012001,13
193,160550012002,1
194,160550012003,3
195,160550013001,1
196,160550013002,1
197,160550014001,2
198,160550014002,6
199,160550016002,1
200,160550018001,1
201,160550018003,1
202,160550020001,2
203,160550020002,2
204,160559400001,17
205,160559400002,2
206,160570051001,4
207,160570051002,11
208,160570051003,1
209,160570051004,2
210,160570051005,8
211,160570052003,1
212,160570052004,1
213,160570052005,1
214,160570053005,1
215,160570054003,3
216,160570056002,1
217,160570057001,3
218,160570057003,1
219,160699400005,2
220,160699603001,13
221,160699603002,22
222,160699603003,5
223,160699603004,2
224,160699604004,1
225,160699605001,1
226,160699605002,2
227,160699605003,2
228,160699609001,1
229,160739501011,1
230,160759602003,1
231,160799602004,3
232,160799603001,3
233,160799603004,1
234,160799603005,1
235,160830002002,1
236,160830008004,2
237,160879701001,1
238,160879702001,1
239,160879702002,1
240,160879703001,1
241,160879703003,1
242,300130002001,1
243,300130007002,4
244,300130011003,1
245,300130018001,1
