,FIPS,Work_Pop
0,160010001001,6
1,160010001002,45
2,160010001003,40
3,160010002011,4
4,160010002021,1
5,160010002023,1
6,160010003021,2
7,160010003022,2
8,160010003031,2
9,160010003041,1
10,160010003042,3
11,160010004001,1
12,160010004002,1
13,160010004004,1
14,160010005004,1
15,160010005005,1
16,160010006002,3
17,160010006003,1
18,160010006004,3
19,160010006005,1
20,160010006006,3
21,160010007011,1
22,160010007013,2
23,160010008022,1
24,160010008023,1
25,160010008024,3
26,160010008041,2
27,160010008042,10
28,160010008043,3
29,160010008051,1
30,160010009001,6
31,160010009002,1
32,160010009003,2
33,160010010004,1
34,160010011001,9
35,160010011002,8
36,160010011003,5
37,160010012012,1
38,160010012021,2
39,160010012022,3
40,160010012023,2
41,160010014003,1
42,160010015001,2
43,160010015002,1
44,160010016001,1
45,160010017001,2
46,160010018001,1
47,160010018003,2
48,160010019001,2
49,160010019003,2
50,160010020001,8
51,160010020002,9
52,160010020003,4
53,160010021001,12
54,160010021002,1
55,160010022213,2
56,160010022231,1
57,160010022241,18
58,160010022242,10
59,160010022243,6
60,160010023021,1
61,160010023022,12
62,160010023024,1
63,160010023102,1
64,160010023103,1
65,160010023122,1
66,160010023131,14
67,160010023132,1
68,160010024101,6
69,160010024102,5
70,160010024103,2
71,160010024104,3
72,160010024121,1
73,160010024122,1
74,160010024132,6
75,160010101001,1
76,160010102013,1
77,160010102211,5
78,160010102231,1
79,160010102253,2
80,160010103133,8
81,160010103211,14
82,160010103212,2
83,160010103222,1
84,160010103311,2
85,160010103312,3
86,160010103313,3
87,160010103322,1
88,160010103331,1
89,160010103332,1
90,160010103351,1
91,160010103352,3
92,160010104012,2
93,160010104021,3
94,160010105011,1
95,160010105031,14
96,160010105042,1
97,160050003004,1
98,160099501001,1
99,160099501002,4
100,160099501004,1
101,160139601002,1
102,160139603001,1
103,160179502001,2
104,160179502005,2
105,160179502006,2
106,160179504001,2
107,160179504005,2
108,160179505004,1
109,160199706031,1
110,160199713024,1
111,160270201001,1
112,160270203001,1
113,160270203004,1
114,160270204011,2
115,160270204014,5
116,160270204024,1
117,160270205042,1
118,160270206025,1
119,160270210011,1
120,160270210021,4
121,160270210024,1
122,160270211002,2
123,160270211003,7
124,160270213001,1
125,160270213002,2
126,160270215001,1
127,160270215003,2
128,160270216001,2
129,160270216003,1
130,160270217001,2
131,160270217003,1
132,160270218001,20
133,160270218002,33
134,160270218003,17
135,160270219012,2
136,160270219032,2
137,160270221003,1
138,160270222002,1
139,160270222003,1
140,160270223002,1
141,160270224001,1
142,160359400004,1
143,160399602001,1
144,160399602002,1
145,160399603002,1
146,160399604001,1
147,160399604002,1
148,160399604003,1
149,160419702001,1
150,160419702002,1
151,160419702003,1
152,160419702004,1
153,160459602003,1
154,160479601004,2
155,160499602001,1
156,160539702001,1
157,160539705002,1
158,160539705003,1
159,160550002002,13
160,160550003011,4
161,160550003022,3
162,160550003023,1
163,160550004011,5
164,160550004012,1
165,160550004021,1
166,160550005001,3
167,160550005002,1
168,160550006011,1
169,160550006022,2
170,160550007001,3
171,160550007002,3
172,160550007003,11
173,160550008002,1
174,160550009001,5
175,160550009002,16
176,160550009003,9
177,160550009004,8
178,160550010011,1
179,160550010012,1
180,160550010022,2
181,160550012001,4
182,160550013001,2
183,160550014001,5
184,160550014002,6
185,160550016002,6
186,160550017002,1
187,160550017003,2
188,160550020002,1
189,160559400001,15
190,160559400003,3
191,160570051001,2
192,160570051002,14
193,160570051003,1
194,160570051004,2
195,160570053003,1
196,160570054001,1
197,160699400004,1
198,160699400005,1
199,160699603001,9
200,160699603002,25
201,160699603003,6
202,160699603004,2
203,160699604003,1
204,160699604004,1
205,160699605001,1
206,160699605003,3
207,160699606001,1
208,160699608001,1
209,160759603001,1
210,160759603002,2
211,160759603003,1
212,160759603004,1
213,160759604003,3
214,160799603005,1
215,160830002002,1
216,160830004001,1
217,160830004004,4
218,160830007001,1
219,160830007003,1
220,160830008004,1
221,160830010001,2
222,160830013004,1
223,160859702001,1
224,160859703001,2
225,160879702002,1
226,160879702003,1
227,160879702004,2
228,300090003002,2
229,300130001002,2
230,300130004001,1
231,300130007002,2
232,300130012001,1
233,300130022001,1
234,300130101003,1
235,300130108001,4
236,300130108002,5
237,300130108003,14
238,300210003001,5
239,300210003002,4
240,300210003003,3
241,300210003004,4
242,300290002011,1
243,300290002012,3
244,300290002013,4
245,300290002031,2
246,300290004021,1
247,300290004022,1
248,300290006013,1
249,300290006022,1
250,300290007003,1
251,300290007005,1
252,300290008001,2
253,300290008002,2
254,300290008003,1
255,300290009002,7
256,300290009003,1
257,300290011003,1
258,300290012002,2
259,300290013023,1
260,300290014003,1
261,300310001011,1
262,300310002001,1
263,300310002002,3
264,300310002003,5
265,300310004002,1
266,300310005031,1
267,300310005041,1
268,300310006001,1
269,300310007011,3
270,300310007012,1
271,300310007013,2
272,300310007014,2
