,FIPS,Work_Pop
0,160010001001,6
1,160010001002,38
2,160010001003,37
3,160010002011,3
4,160010002022,1
5,160010003041,1
6,160010003042,3
7,160010004001,1
8,160010004002,2
9,160010004004,1
10,160010005001,1
11,160010006001,2
12,160010006003,1
13,160010006004,4
14,160010006005,3
15,160010006006,6
16,160010007013,8
17,160010007021,1
18,160010008021,2
19,160010008024,1
20,160010008033,2
21,160010008041,1
22,160010008042,5
23,160010008043,3
24,160010008052,1
25,160010009001,3
26,160010009002,2
27,160010010002,2
28,160010010004,1
29,160010011001,4
30,160010011002,1
31,160010011003,1
32,160010012011,1
33,160010012021,1
34,160010012023,1
35,160010014001,2
36,160010014003,1
37,160010014004,1
38,160010015001,2
39,160010015002,1
40,160010015003,1
41,160010016001,2
42,160010016002,1
43,160010016003,1
44,160010017003,1
45,160010018001,4
46,160010018003,1
47,160010019003,1
48,160010020001,4
49,160010020002,4
50,160010020003,1
51,160010021001,12
52,160010022213,3
53,160010022241,28
54,160010022242,10
55,160010022243,18
56,160010023022,6
57,160010023023,2
58,160010023024,2
59,160010023102,5
60,160010023122,1
61,160010023131,13
62,160010023132,1
63,160010024101,6
64,160010024102,5
65,160010024103,3
66,160010024104,4
67,160010024131,3
68,160010024132,11
69,160010101001,3
70,160010102012,5
71,160010102013,1
72,160010102211,9
73,160010102212,1
74,160010102231,1
75,160010102232,2
76,160010102252,4
77,160010102253,3
78,160010103131,2
79,160010103133,8
80,160010103211,15
81,160010103212,3
82,160010103221,1
83,160010103223,1
84,160010103311,1
85,160010103313,4
86,160010103321,1
87,160010103322,1
88,160010103334,1
89,160010103342,1
90,160010103351,4
91,160010103352,1
92,160010103353,1
93,160010104012,6
94,160010104013,4
95,160010104014,2
96,160010105011,2
97,160010105031,7
98,160050004001,2
99,160050004002,1
100,160050014001,1
101,160050015005,4
102,160050016012,1
103,160099501001,2
104,160099501002,3
105,160099501003,3
106,160099501004,2
107,160119501003,1
108,160119501004,1
109,160119502003,1
110,160139601003,1
111,160139601004,1
112,160139602001,1
113,160139602003,1
114,160139603001,5
115,160139603003,3
116,160139605002,2
117,160179502005,1
118,160179502006,2
119,160179503002,3
120,160179504001,1
121,160179504003,1
122,160179504005,4
123,160179507002,1
124,160179508001,1
125,160179508004,1
126,160199706011,1
127,160199706012,1
128,160199706022,1
129,160199706031,1
130,160199710003,1
131,160199712004,1
132,160199713014,1
133,160199713021,1
134,160199715002,1
135,160270201001,3
136,160270203001,1
137,160270204011,2
138,160270204012,4
139,160270204014,1
140,160270204023,1
141,160270204024,1
142,160270204025,3
143,160270205031,4
144,160270205042,3
145,160270206021,3
146,160270206023,1
147,160270207002,1
148,160270209011,2
149,160270209012,2
150,160270209013,1
151,160270209021,1
152,160270210011,7
153,160270210021,4
154,160270210022,1
155,160270210023,1
156,160270210024,5
157,160270211001,1
158,160270211002,1
159,160270211003,1
160,160270213002,8
161,160270215001,2
162,160270215002,1
163,160270216001,3
164,160270216002,1
165,160270217001,5
166,160270217002,2
167,160270217003,6
168,160270218001,15
169,160270218002,44
170,160270218003,13
171,160270219031,6
172,160270219032,4
173,160270223003,1
174,160319505004,1
175,160319506002,1
176,160399601003,1
177,160399603002,1
178,160459601001,1
179,160459602002,2
180,160459603001,1
181,160459603002,1
182,160479601001,1
183,160479601006,1
184,160499400001,1
185,160539705002,1
186,160550001001,1
187,160550001002,1
188,160550003011,1
189,160550003023,6
190,160550004011,8
191,160550004021,16
192,160550005001,6
193,160550006021,2
194,160550006022,1
195,160550007001,5
196,160550007002,7
197,160550007003,7
198,160550008001,3
199,160550009001,1
200,160550009002,22
201,160550009003,3
202,160550009004,7
203,160550010011,5
204,160550010013,1
205,160550010022,1
206,160550011001,2
207,160550012001,7
208,160550013001,1
209,160550013002,1
210,160550014001,4
211,160550014002,4
212,160550016002,1
213,160550018003,4
214,160550020002,3
215,160559400001,16
216,160559400002,1
217,160570051001,4
218,160570051002,12
219,160570051003,1
220,160570051004,2
221,160570051005,4
222,160570053003,1
223,160570053004,2
224,160570054003,2
225,160570056003,2
226,160570057001,2
227,160570057002,1
228,160570057003,1
229,160699400005,2
230,160699603001,11
231,160699603002,21
232,160699603003,6
233,160699603004,3
234,160699604001,1
235,160699604004,1
236,160699605001,2
237,160699605002,2
238,160699605003,5
239,160699606002,2
240,160699606004,2
241,160699608001,1
242,160699610003,1
243,160739501013,3
244,160759602002,1
245,160759603001,2
246,160759603002,1
247,160759603004,2
248,160759604003,1
249,160799603002,1
250,160799603005,1
251,160830007002,1
252,160830010002,2
253,160830011001,1
254,160830012001,1
255,160879701001,1
256,160879702002,2
257,160879702004,1
258,160879703001,3
259,160879703002,1
260,300070001001,3
261,300090003003,1
262,300130004001,1
263,300130007002,3
264,300130008001,1
265,300130008002,1
266,300130010002,1
267,300130010003,1
268,300130016001,1
269,300130016003,1
270,300130017003,1
271,300130019003,1
272,300130021001,1
273,300130021003,1
274,300130022001,1
275,300130023001,1
276,300130101001,1
277,300130108001,3
278,300130108002,5
279,300130108003,20
280,300210003001,2
281,300210003002,3
282,300210003003,5
283,300210003004,4
284,300290002012,1
285,300290002013,4
286,300290002022,1
287,300290002031,1
288,300290003002,1
289,300290004011,2
290,300290004012,3
291,300290004013,2
292,300290004014,1
293,300290004021,1
294,300290004023,1
295,300290006011,2
296,300290006013,3
297,300290006021,1
298,300290006023,1
299,300290009001,1
300,300290009002,6
301,300290010001,1
302,300290011005,1
303,300290012002,1
304,300290013011,1
305,300290013023,1
306,300310001011,1
307,300310001032,1
308,300310002001,2
309,300310002002,3
310,300310002003,6
311,300310005032,1
312,300310006001,1
313,300310006002,1
314,300310007011,1
315,300310007012,2
316,300310007013,2
317,300310007014,5
318,300310007021,1
319,300310008001,1
320,300310009001,1
321,300310009003,1
322,300310010022,1
323,300310010023,1
324,300359402003,1
325,300470002001,6
326,300470002002,4
327,300479405004,1
328,300490004005,1
329,300490005021,1
330,300490005022,2
331,300490005023,1
332,300490006002,1
333,300490008001,9
334,300490008002,1
335,300490008003,8
336,300490008004,10
337,300490009001,1
338,300530002002,2
339,300530002003,2
340,300530005002,1
341,300630001001,1
342,300630001004,1
343,300630002011,2
344,300630002015,2
345,300630002021,27
346,300630002022,9
347,300630002023,14
348,300630002024,6
349,300630003002,2
350,300630005002,1
351,300630005004,1
352,300630007002,2
353,300630008001,2
354,300630009014,5
355,300630009015,3
356,300630010001,1
357,300630011001,2
358,300630011003,1
359,300630012001,5
360,300630012002,6
361,300630012004,1
362,300630013021,1
363,300630013031,1
364,300630013032,1
365,300630013043,1
366,300630015003,1
367,300630016001,3
368,300670004002,1
369,300670004003,1
370,300810001002,1
371,300810002021,1
372,300810002022,2
373,300810002023,1
374,300810004011,1
375,300810006001,1
376,300890001003,1
377,300930001003,1
378,300930006005,1
379,300930006006,1
380,300930008004,1
381,301051001002,1
382,301110002003,1
383,301110004021,1
384,301110004022,3
385,301110004023,3
386,301110007053,1
387,301110009013,2
388,301110011002,1
389,301110013004,1
390,301110014015,1
391,301110017023,1
392,301110017024,1
393,301110017041,5
394,301110017043,4
395,301110018021,1
396,301110019012,1
397,410019502002,12
398,410019502003,3
399,410019503002,1
400,410019504002,3
401,410019505001,3
402,410019505002,6
403,410030001001,183
404,410030001002,549
405,410030001003,503
406,410030001004,513
407,410030002021,918
408,410030002022,1250
409,410030004001,423
410,410030004002,1273
411,410030004003,493
412,410030004004,632
413,410030005001,2764
414,410030005002,83
415,410030005003,142
416,410030006001,828
417,410030006002,995
418,410030006003,3541
419,410030009001,67
420,410030009002,55
421,410030009003,122
422,410030009004,53
423,410030009005,76
424,410030010011,583
425,410030010012,981
426,410030010013,146
427,410030010021,522
428,410030010022,86
429,410030010023,1452
430,410030011011,79
431,410030011012,424
432,410030011013,281
433,410030011014,419
434,410030011021,2751
435,410030011022,224
436,410030011023,85
437,410030011024,179
438,410030101001,148
439,410030101002,56
440,410030101003,1145
441,410030101004,470
442,410030101005,57
443,410030102001,1037
444,410030102002,85
445,410030102003,437
446,410030103001,262
447,410030103002,185
448,410030103003,349
449,410030104001,372
450,410030104002,90
451,410030104003,652
452,410030106001,6020
453,410030106002,505
454,410030106003,110
455,410030106004,236
456,410030107021,276
457,410030107022,1528
458,410030107023,199
459,410030108001,693
460,410030108002,1212
461,410030108003,784
462,410030109001,203
463,410030109002,448
464,410050201001,1517
465,410050201002,641
466,410050201003,1180
467,410050202001,843
468,410050202002,1235
469,410050202003,2187
470,410050202004,315
471,410050202005,494
472,410050203021,6344
473,410050203022,1632
474,410050203031,250
475,410050203032,659
476,410050203033,1056
477,410050203041,1590
478,410050203042,713
479,410050203043,258
480,410050204011,87
481,410050204012,2165
482,410050204013,699
483,410050204014,1044
484,410050204031,679
485,410050204032,84
486,410050204041,457
487,410050204042,396
488,410050205011,94
489,410050205012,1500
490,410050205013,655
491,410050205031,321
492,410050205032,602
493,410050205041,96
494,410050205042,417
495,410050205043,758
496,410050205051,565
497,410050205052,660
498,410050206001,1196
499,410050206002,2260
500,410050206003,765
501,410050207001,965
502,410050207002,463
503,410050207003,87
504,410050208001,2296
505,410050208002,1585
506,410050208003,1825
507,410050209001,58
508,410050209002,522
509,410050209003,689
510,410050210001,227
511,410050210002,1474
512,410050210003,62
513,410050211001,143
514,410050211002,253
515,410050211003,153
516,410050211004,646
517,410050212001,489
518,410050212002,28
519,410050212003,457
520,410050213001,578
521,410050213002,133
522,410050213003,237
523,410050214001,205
524,410050214002,963
525,410050214003,119
526,410050215001,5256
527,410050215002,4834
528,410050216011,1010
529,410050216012,261
530,410050216013,123
531,410050216014,289
532,410050216021,2298
533,410050216022,66
534,410050216023,629
535,410050217001,1630
536,410050217002,526
537,410050217003,645
538,410050218011,574
539,410050218012,50
540,410050218013,334
541,410050218021,632
542,410050218022,1504
543,410050219001,478
544,410050219002,226
545,410050220001,634
546,410050220002,1083
547,410050220003,1566
548,410050221011,292
549,410050221012,637
550,410050221013,118
551,410050221014,121
552,410050221031,1387
553,410050221032,392
554,410050221051,252
555,410050221052,3604
556,410050221053,2797
557,410050221071,5541
558,410050221072,4923
559,410050221081,4934
560,410050221082,4321
561,410050222011,871
562,410050222012,1183
563,410050222013,3103
564,410050222051,1428
565,410050222052,493
566,410050222061,713
567,410050222062,292
568,410050222071,246
569,410050222072,705
570,410050222081,1274
571,410050222082,1879
572,410050223011,786
573,410050223012,1964
574,410050223013,89
575,410050223021,222
576,410050223022,126
577,410050223023,1162
578,410050224001,1223
579,410050224002,423
580,410050224003,438
581,410050224004,1056
582,410050224005,799
583,410050225001,830
584,410050225002,1444
585,410050225003,437
586,410050225004,174
587,410050226021,832
588,410050226022,129
589,410050226031,4449
590,410050226051,2494
591,410050226052,1144
592,410050226053,174
593,410050226061,828
594,410050227021,1946
595,410050227022,2160
596,410050227023,436
597,410050227024,193
598,410050227071,3686
599,410050227072,3415
600,410050227081,193
601,410050227082,1227
602,410050227101,3144
603,410050228001,224
604,410050228002,170
605,410050228003,320
606,410050228004,497
607,410050229011,2569
608,410050229041,502
609,410050229042,2432
610,410050229051,134
611,410050229052,14
612,410050229053,30
613,410050229061,2440
614,410050229062,225
615,410050229071,872
616,410050229072,675
617,410050230011,697
618,410050230012,779
619,410050230021,354
620,410050230022,784
621,410050231001,764
622,410050231002,195
623,410050231003,280
624,410050232011,708
625,410050232012,833
626,410050232021,289
627,410050232022,312
628,410050232023,1986
629,410050233001,137
630,410050233002,887
631,410050233003,811
632,410050234011,425
633,410050234012,984
634,410050234013,615
635,410050234031,299
636,410050234041,657
637,410050234042,703
638,410050234043,4399
639,410050234044,188
640,410050235001,393
641,410050235002,184
642,410050235003,404
643,410050235004,61
644,410050235005,1111
645,410050236001,179
646,410050236002,262
647,410050236003,103
648,410050237001,346
649,410050237002,411
650,410050237003,162
651,410050237004,311
652,410050238001,210
653,410050238002,265
654,410050238003,762
655,410050238004,1105
656,410050238005,491
657,410050239011,841
658,410050239021,1215
659,410050239022,1657
660,410050239023,266
661,410050240001,162
662,410050240002,174
663,410050241001,1083
664,410050241002,345
665,410050241003,90
666,410050242001,1669
667,410050242002,1115
668,410050242003,168
669,410050242004,101
670,410050243021,496
671,410050243022,666
672,410050243023,133
673,410050243031,170
674,410050243032,454
675,410050243041,336
676,410050243042,275
677,410050244001,3877
678,410050244002,147
679,410050244003,2353
680,410059800001,102
681,410079501001,439
682,410079501002,189
683,410079501003,686
684,410079502001,707
685,410079502002,895
686,410079502003,508
687,410079502004,1381
688,410079503001,1777
689,410079503002,865
690,410079503003,201
691,410079503004,298
692,410079504001,225
693,410079504002,167
694,410079504003,122
695,410079505001,401
696,410079505002,1817
697,410079505003,1258
698,410079506001,501
699,410079506002,475
700,410079506003,164
701,410079507001,252
702,410079507002,585
703,410079509001,724
704,410079509002,899
705,410079509003,741
706,410079509004,296
707,410079509005,185
708,410079509006,1225
709,410079511001,863
710,410079511002,164
711,410079511003,728
712,410079511004,651
713,410079512001,969
714,410079512002,319
715,410079512003,361
716,410079513001,178
717,410079513002,71
718,410099702001,214
719,410099702002,1039
720,410099702003,104
721,410099702004,70
722,410099702005,51
723,410099703001,661
724,410099703002,115
725,410099703003,1152
726,410099703004,49
727,410099703005,337
728,410099704001,32
729,410099704002,130
730,410099705001,520
731,410099705002,384
732,410099705003,38
733,410099705004,23
734,410099706001,1092
735,410099706002,596
736,410099706003,316
737,410099706004,192
738,410099707001,150
739,410099707002,711
740,410099707003,343
741,410099707004,274
742,410099708001,1326
743,410099708002,975
744,410099708003,925
745,410099709001,361
746,410099709002,225
747,410099709003,2118
748,410099710001,972
749,410099710002,141
750,410099710003,252
751,410099711001,182
752,410099711002,731
753,410099711003,162
754,410110001001,72
755,410110001002,102
756,410110001003,103
757,410110001004,882
758,410110001005,30
759,410110001006,102
760,410110002001,67
761,410110002002,63
762,410110002003,162
763,410110003001,2923
764,410110003002,103
765,410110003003,2059
766,410110003004,671
767,410110004001,904
768,410110004002,349
769,410110004003,132
770,410110004004,85
771,410110004005,321
772,410110004006,731
773,410110005021,152
774,410110005022,343
775,410110005031,27
776,410110005032,519
777,410110005041,1066
778,410110005042,340
779,410110005043,107
780,410110005044,193
781,410110005045,308
782,410110006001,1908
783,410110006002,3043
784,410110006003,483
