,FIPS,Work_Pop
0,160010001001,7
1,160010001002,44
2,160010001003,30
3,160010002011,2
4,160010002024,1
5,160010003041,2
6,160010003042,4
7,160010004002,2
8,160010005004,1
9,160010006002,3
10,160010006003,1
11,160010006004,3
12,160010006005,1
13,160010006006,5
14,160010007013,1
15,160010007021,2
16,160010008023,1
17,160010008024,1
18,160010008042,3
19,160010008052,1
20,160010009001,7
21,160010009002,1
22,160010010001,2
23,160010011001,4
24,160010011002,4
25,160010011003,2
26,160010012011,3
27,160010012012,1
28,160010012022,1
29,160010012023,1
30,160010014001,3
31,160010014002,1
32,160010014004,1
33,160010015002,1
34,160010017003,1
35,160010018001,2
36,160010018003,1
37,160010019003,1
38,160010020001,2
39,160010020002,4
40,160010021001,15
41,160010021002,1
42,160010022213,1
43,160010022231,3
44,160010022241,15
45,160010022242,10
46,160010022243,6
47,160010023022,7
48,160010023023,1
49,160010023102,2
50,160010023103,1
51,160010023131,17
52,160010023132,1
53,160010024101,5
54,160010024102,4
55,160010024103,2
56,160010024104,3
57,160010024121,1
58,160010024131,1
59,160010024132,2
60,160010102012,1
61,160010102013,1
62,160010102211,2
63,160010102232,1
64,160010102251,2
65,160010102252,2
66,160010103133,6
67,160010103211,9
68,160010103212,2
69,160010103223,2
70,160010103312,1
71,160010103313,1
72,160010103322,1
73,160010103331,1
74,160010103333,1
75,160010103334,1
76,160010103351,1
77,160010104014,1
78,160010104021,2
79,160010104022,1
80,160010105011,1
81,160010105031,5
82,160099501001,1
83,160099501002,4
84,160099501003,1
85,160099501004,1
86,160139601003,1
87,160139603001,1
88,160139603002,1
89,160179502006,3
90,160179503003,1
91,160179504005,4
92,160179504006,3
93,160179507002,1
94,160199712004,1
95,160199713011,1
96,160199714002,1
97,160270201001,2
98,160270203001,1
99,160270203003,1
100,160270203004,1
101,160270204011,1
102,160270204012,2
103,160270204014,4
104,160270204023,1
105,160270204025,1
106,160270205031,1
107,160270205041,1
108,160270206011,1
109,160270206021,3
110,160270206022,1
111,160270206026,1
112,160270207002,5
113,160270210011,3
114,160270210021,1
115,160270210024,1
116,160270211002,5
117,160270211003,2
118,160270212003,1
119,160270215005,1
120,160270217001,1
121,160270218001,20
122,160270218002,36
123,160270218003,18
124,160270219011,1
125,160270219031,2
126,160270219032,1
127,160270222003,1
128,160270223001,1
129,160270224001,2
130,160359400002,1
131,160359400004,1
132,160359400006,1
133,160399603001,1
134,160399603003,1
135,160419702002,1
136,160419702003,2
137,160419702004,1
138,160459602002,1
