Auto Impedances,,,,,,Rail Access Impedances,,,,,,Air Access Impedances,,,,,,Bus Access Impedances,,,,
ZONE 1,ZONE 2,ZONE PAIR,Dist (mile),CongTT (min),,Zone,Station,ZoneSta,Dist (mile),Time (min),,Zone,Station,ZoneSta,Dist (mile),Time (min),,Zone,Station,ZoneSta,Dist (mile),Time (min)
101,102,101102,274.6955318,305.0939844,,101,WDL,101WDL,21.09029927,21.99172648,,101,MSN,101MSN,52.43718359,51.18403601,,101,WDL,101WDL,21.09029927,21.99172648
101,103,101103,339.469532,380.768347,,101,POG,101POG,26.88168112,30.10060187,,101,LSE,101LSE,90.40126743,91.16873378,,101,MSN,101MSN,50.49107584,52.7891119
101,104,101104,155.1499728,170.312162,,101,WSF,101WSF,51.49245195,50.58850625,,101,ATW,101ATW,119.0023085,121.6317807,,101,SMD,101SMD,57.99188315,59.02828067
101,105,101105,179.2535709,193.6258651,,101,MSN,101MSN,50.49107584,52.7891119,,101,MKE,101MKE,128.9729953,122.9593952,,101,TOH,101TOH,55.40861442,60.6374255
101,106,101106,83.33148442,97.13422131,,101,SMD,101SMD,57.99188315,59.02828067,,101,RFD,101RFD,134.4063085,126.3935885,,101,LSE,101LSE,92.29508972,93.28832053
101,107,101107,165.5648858,166.6312578,,101,CBS,101CBS,54.34016496,60.27617996,,101,EAU,101EAU,141.3921587,130.9622422,,101,LUW,101LUW,85.72512344,94.03850906
101,108,101108,84.20326111,87.94128972,,101,TOH,101TOH,55.40861442,60.6374255,,101,RST,101RST,158.1343044,149.3459985,,101,WKS,101WKS,110.1183462,103.5273171
101,109,101109,176.5966961,186.2001006,,101,BVD,101BVD,64.33533522,71.48371407,,101,GRB,101GRB,147.6513771,150.2988631,,101,MKE,101MKE,122.4605406,116.0037889
101,110,101110,239.1911846,253.6088739,,101,WPN,101WPN,64.7314818,71.91399905,,101,ORD,101ORD,185.5473085,173.5360456,,101,WIN,101WIN,116.2051075,116.1960561
101,111,101111,68.87685112,76.15152991,,101,JVL,101JVL,90.04756092,84.01701234,,101,MDW,101MDW,202.6831019,192.8805977,,101,MKA,101MKA,128.2885421,121.697513
101,112,101112,117.7460935,123.3213663,,101,FDL,101FDL,80.26424709,87.54846285,,101,MSP,101MSP,227.8711795,208.1236958,,101,ABB,101ABB,122.3595416,126.6919317
101,113,101113,153.5728521,163.3999875,,101,LSE,101LSE,92.29508972,93.28832053,,101,IMT,101IMT,249.5606538,252.256595,,101,WSJ,101WSJ,134.9277264,126.8477133
101,114,101114,299.8654619,323.6368171,,101,SVU,101SVU,100.2210613,95.11785813,,101,DLH,101DLH,302.3713614,295.1931515,,101,EUC,101EUC,138.7941039,127.8445766
101,115,101115,56.00122776,72.98722964,,101,SVP,101SVP,100.534899,95.4944633,,102,IMT,102IMT,37.18856866,37.63223772,,101,SHB,101SHB,119.2212735,128.1828945
101,116,101116,213.6202906,228.5133705,,101,OSH,101OSH,97.09809484,99.80982916,,102,GRB,102GRB,132.150292,132.9558694,,101,WIT,101WIT,136.0431261,132.5156996
101,117,101117,265.0008779,275.4984382,,101,BET,101BET,107.475455,100.4084215,,102,ATW,102ATW,159.9472234,160.734787,,101,CHP,101CHP,144.2040527,134.336515
101,118,101118,142.9673255,152.2420563,,101,OSU,101OSU,98.73314793,101.634588,,102,MKE,102MKE,255.2099102,243.9640742,,101,MTC,101MTC,133.1756572,145.9235368
101,119,101119,181.3773085,188.0078702,,101,WAU,101WAU,103.6626511,103.6159727,,102,MSN,102MSN,259.5843482,261.2981005,,101,SNY,101SNY,155.6336709,149.3721701
101,120,101120,121.7837117,126.9386395,,101,RCK,101RCK,123.7601255,115.5820055,,102,EAU,102EAU,262.9257562,268.0046264,,101,MNM,101MNM,161.5620958,149.3870784
101,121,101121,238.0719927,256.9057769,,101,MKE,101MKE,122.4605406,116.0037889,,102,DLH,102DLH,270.4498932,275.9054932,,101,RMN,101RMN,158.137579,151.3772791
101,122,101122,164.1857998,166.565262,,101,WIN,101WIN,116.2051075,116.1960561,,102,LSE,102LSE,310.1327993,312.5330573,,101,GBY,101GBY,149.932802,153.4043729
101,123,101123,80.90340517,86.76109478,,101,WSU,101WSU,126.5158386,116.8903419,,102,ORD,102ORD,330.2252234,315.055587,,101,BDU,101BDU,154.3274614,156.5797336
