,Rail Access Impedances,Rail Access Impedances,Rail Access Impedances,Rail Access Impedances,Rail Access Impedances,Air Access Impedances,Air Access Impedances,Air Access Impedances,Air Access Impedances,Air Access Impedances,Auto Impedances,Auto Impedances,Auto Impedances,Auto Impedances,Auto Impedances,Bus Access Impedances,Bus Access Impedances,Bus Access Impedances,Bus Access Impedances,Bus Access Impedances
0,Zone,Station,ZoneSta,Dist (mile),Time (min),Zone,Station,ZoneSta,Dist (mile),Time (min),ZONE 1,ZONE 2,ZONE PAIR,Dist (mile),CongTT (min),Zone,Station,ZoneSta,Dist (mile),Time (min)
0,101,WDL,101WDL,21.09029927,21.99172648,101,MSN,101MSN,52.43718359,51.18403601,101,102,101102,274.6955318,305.0939844,101,WDL,101WDL,21.09029927,21.99172648
1,101,POG,101POG,26.88168112,30.10060187,101,LSE,101LSE,90.40126743,91.16873378,101,103,101103,339.469532,380.768347,101,MSN,101MSN,50.49107584,52.7891119
2,101,WSF,101WSF,51.49245195,50.58850625,101,ATW,101ATW,119.0023085,121.6317807,101,104,101104,155.1499728,170.312162,101,SMD,101SMD,57.99188315,59.02828067
3,102,EMI,102EMI,32.10319327,32.81558726,102,IMT,102IMT,37.18856866,37.63223772,101,105,101105,179.2535709,193.6258651,102,GBY,102GBY,128.5767299,129.2049948
4,102,MWI,102MWI,97.1081402,101.2514311,102,GRB,102GRB,132.150292,132.9558694,101,106,101106,83.33148442,97.13422131,102,BDU,102BDU,129.9630704,133.0750704
5,102,MQT,102MQT,99.75569162,103.0857853,102,ATW,102ATW,159.9472234,160.734787,101,107,101107,165.5648858,166.6312578,102,WIT,102WIT,158.5434058,162.1584785
6,103,MQT,103MQT,21.81375525,23.9273001,103,IMT,103IMT,89.90887821,93.89644765,101,108,101108,84.20326111,87.94128972,103,GBY,103GBY,193.35073,197.9998698
7,103,EMI,103EMI,58.01380656,64.63085892,103,GRB,103GRB,196.9242922,201.7507444,101,109,101109,176.5966961,186.2001006,103,BDU,103BDU,194.7370706,201.8699455
8,103,LAN,103LAN,75.90102127,79.25145977,103,ATW,103ATW,224.7212235,229.529662,101,110,101110,239.1911846,253.6088739,103,WIT,103WIT,220.7490411,229.0793887
9,104,RMN,104RMN,36.60360628,37.45518378,104,RST,104RST,33.95633168,35.3205135,101,111,101111,68.87685112,76.15152991,104,RMN,104RMN,36.60360628,37.45518378
10,104,WIN,104WIN,48.11169718,51.34709466,104,LSE,104LSE,66.90085712,66.39608659,101,112,101112,117.7460935,123.3213663,104,WIN,104WIN,48.11169718,51.34709466
11,104,LSE,104LSE,59.24688304,64.89829431,104,MSP,104MSP,114.7242068,116.6473043,101,113,101113,153.5728521,163.3999875,104,LUW,104LUW,59.08084931,64.69905384
12,105,RDW,105RDW,17.63080204,17.81615846,105,MSP,105MSP,46.77160861,51.46095353,101,114,101114,299.8654619,323.6368171,105,HDS,105HDS,26.15549018,27.96489509
13,105,MNM,105MNM,35.7097164,38.19775561,105,EAU,105EAU,64.48658778,61.35100906,101,115,101115,56.00122776,72.98722964,105,LLD,105LLD,28.72465479,30.46251086
14,105,MSP,105MSP,41.42499673,47.03028595,105,RST,105RST,73.42350772,77.50004596,101,116,101116,213.6202906,228.5133705,105,MNM,105MNM,35.7097164,38.19775561
15,106,LSE,106LSE,9.222605292,10.83343103,106,LSE,106LSE,7.903783002,9.047444282,101,117,101117,265.0008779,275.4984382,106,LUW,106LUW,9.17963902,10.7818715
16,106,TOH,106TOH,32.15271579,32.50506336,106,RST,106RST,75.63682001,67.22470897,101,118,101118,142.9673255,152.2420563,106,LSE,106LSE,9.222605292,10.83343103
17,106,WIN,106WIN,33.70762306,34.07476664,106,EAU,106EAU,95.93026005,92.19450088,101,119,101119,181.3773085,188.0078702,106,TOH,106TOH,32.15271579,32.50506336
18,107,MNM,107MNM,6.312598511,7.055079357,107,EAU,107EAU,27.58666143,27.46758343,101,120,101120,121.7837117,126.9386395,107,MNM,107MNM,6.312598511,7.055079357
19,107,EUC,107EUC,27.99978188,25.92881368,107,MSP,107MSP,69.93868226,64.75952271,101,121,101121,238.0719927,256.9057769,107,EUC,107EUC,27.99978188,25.92881368
20,107,CHP,107CHP,30.39855541,30.84185621,107,LSE,107LSE,107.8216184,106.0993889,101,122,101122,164.1857998,166.565262,107,CHP,107CHP,30.39855541,30.84185621
21,108,TOH,108TOH,25.81464669,23.01280931,108,EAU,108EAU,57.18889757,51.01561523,101,123,101123,80.90340517,86.76109478,108,TOH,108TOH,25.81464669,23.01280931
22,108,EUC,108EUC,54.59084282,47.89794953,108,LSE,108LSE,54.92600632,53.05816391,101,124,101124,262.905335,263.3630534,108,EUC,108EUC,54.59084282,47.89794953
23,108,CHP,108CHP,60.00079155,54.389888,108,MSN,108MSN,117.1724447,101.1373358,101,125,101125,126.318128,140.1767164,108,CHP,108CHP,60.00079155,54.389888
24,109,RMN,109RMN,18.96311705,19.38833955,109,RST,109RST,28.20439165,29.40379165,101,126,101126,116.9983772,131.1893195,109,RMN,109RMN,18.96311705,19.38833955
25,109,WIN,109WIN,69.55842051,65.79067513,109,MSP,109MSP,73.22648342,79.07965375,101,127,101127,108.146085,127.8838643,109,WIN,109WIN,69.55842051,65.79067513
26,109,RDW,109RDW,62.93168596,66.63006778,109,LSE,109LSE,88.34758045,80.83966706,101,128,101128,110.9490068,131.4434384,109,LSE,109LSE,89.14840274,81.80065381
27,110,CHI,110CHI,41.00343847,44.97361759,110,MDW,110MDW,41.48508278,47.24642411,101,129,101129,105.1747603,124.8669872,110,CHI,110CHI,41.00343847,44.97361759
28,110,GLN,110GLN,58.88287616,63.78167616,110,ORD,110ORD,57.72187616,61.09547616,101,130,101130,188.2023452,198.6519346,110,CCL,110CCL,54.4354696,57.8090696
29,110,RCK,110RCK,115.4310591,114.9715163,110,RFD,110RFD,123.0908762,122.7967333,101,131,101131,95.50042267,97.66467578,110,MKA,110MKA,127.8871098,127.9371384
30,111,WSF,111WSF,31.62468613,30.84611756,111,ATW,111ATW,55.37454264,58.12939198,101,132,101132,79.74540246,95.64481355,111,WDL,111WDL,49.63455185,54.85084444
31,111,OSH,111OSH,33.47032901,36.30744046,111,MSN,111MSN,60.94558224,65.31510334,101,133,101133,169.7421077,193.3383978,111,MSN,111MSN,64.21468999,69.23803264
32,111,FDL,111FDL,35.66060403,36.59261109,111,GRB,111GRB,84.0236113,86.79647436,101,134,101134,170.3417384,184.3317431,111,SMD,111SMD,65.46703203,69.38864309
