,0,1,2
0,101,102,101102
1,101,103,101103
2,101,104,101104
3,101,105,101105
4,101,106,101106
5,101,107,101107
6,101,108,101108
7,101,109,101109
8,101,110,101110
9,101,111,101111
10,101,112,101112
11,101,113,101113
12,101,114,101114
13,101,115,101115
14,101,116,101116
15,101,117,101117
16,101,118,101118
17,101,119,101119
18,101,120,101120
19,101,121,101121
20,101,122,101122
21,101,123,101123
22,101,124,101124
23,101,125,101125
24,101,126,101126
25,101,127,101127
26,101,128,101128
27,101,129,101129
28,101,130,101130
29,101,131,101131
30,101,132,101132
31,101,133,101133
32,101,134,101134
33,101,135,101135
34,101,136,101136
35,101,137,101137
36,101,138,101138
37,101,139,101139
38,101,140,101140
39,101,141,101141
40,101,142,101142
41,101,143,101143
42,101,144,101144
43,101,145,101145
44,101,146,101146
45,101,147,101147
46,101,148,101148
47,101,149,101149
48,101,150,101150
49,101,151,101151
50,101,152,101152
51,101,153,101153
52,101,154,101154
53,101,155,101155
54,101,156,101156
55,101,157,101157
56,101,158,101158
57,101,159,101159
58,101,160,101160
59,101,161,101161
60,101,162,101162
61,101,163,101163
62,101,164,101164
63,101,165,101165
64,101,166,101166
65,101,167,101167
66,101,168,101168
67,101,169,101169
68,101,170,101170
69,101,171,101171
70,101,172,101172
71,101,173,101173
72,101,174,101174
73,101,175,101175
74,101,176,101176
75,101,177,101177
76,101,178,101178
77,101,179,101179
78,101,180,101180
79,101,181,101181
80,101,182,101182
81,101,183,101183
82,101,184,101184
83,101,185,101185
84,101,186,101186
85,101,187,101187
86,101,188,101188
87,101,189,101189
88,101,190,101190
89,101,191,101191
90,101,192,101192
91,101,193,101193
92,101,194,101194
93,101,195,101195
94,101,196,101196
95,101,197,101197
96,101,198,101198
97,101,199,101199
98,101,200,101200
99,102,103,102103
100,102,104,102104
101,102,105,102105
102,102,106,102106
103,102,107,102107
104,102,108,102108
105,102,109,102109
106,102,110,102110
107,102,111,102111
108,102,112,102112
109,102,113,102113
110,102,114,102114
111,102,115,102115
112,102,116,102116
113,102,117,102117
114,102,118,102118
115,102,119,102119
116,102,120,102120
117,102,121,102121
118,102,122,102122
119,102,123,102123
120,102,124,102124
121,102,125,102125
122,102,126,102126
123,102,127,102127
124,102,128,102128
125,102,129,102129
126,102,130,102130
127,102,131,102131
128,102,132,102132
129,102,133,102133
130,102,134,102134
131,102,135,102135
132,102,136,102136
133,102,137,102137
134,102,138,102138
135,102,139,102139
136,102,140,102140
137,102,141,102141
138,102,142,102142
139,102,143,102143
140,102,144,102144
141,102,145,102145
142,102,146,102146
143,102,147,102147
144,102,148,102148
145,102,149,102149
146,102,150,102150
147,102,151,102151
148,102,152,102152
149,102,153,102153
150,102,154,102154
151,102,155,102155
152,102,156,102156
153,102,157,102157
154,102,158,102158
155,102,159,102159
156,102,160,102160
157,102,161,102161
158,102,162,102162
159,102,163,102163
160,102,164,102164
161,102,165,102165
162,102,166,102166
163,102,167,102167
164,102,168,102168
165,102,169,102169
166,102,170,102170
167,102,171,102171
168,102,172,102172
169,102,173,102173
170,102,174,102174
171,102,175,102175
172,102,176,102176
173,102,177,102177
174,102,178,102178
175,102,179,102179
176,102,180,102180
177,102,181,102181
178,102,182,102182
179,102,183,102183
180,102,184,102184
181,102,185,102185
182,102,186,102186
183,102,187,102187
184,102,188,102188
185,102,189,102189
186,102,190,102190
187,102,191,102191
188,102,192,102192
189,102,193,102193
190,102,194,102194
191,102,195,102195
192,102,196,102196
193,102,197,102197
194,102,198,102198
195,102,199,102199
196,102,200,102200
197,103,104,103104
198,103,105,103105
199,103,106,103106
200,103,107,103107
201,103,108,103108
202,103,109,103109
203,103,110,103110
204,103,111,103111
205,103,112,103112
206,103,113,103113
207,103,114,103114
208,103,115,103115
209,103,116,103116
210,103,117,103117
211,103,118,103118
212,103,119,103119
213,103,120,103120
214,103,121,103121
215,103,122,103122
216,103,123,103123
217,103,124,103124
218,103,125,103125
219,103,126,103126
220,103,127,103127
221,103,128,103128
222,103,129,103129
223,103,130,103130
224,103,131,103131
225,103,132,103132
226,103,133,103133
227,103,134,103134
228,103,135,103135
229,103,136,103136
230,103,137,103137
231,103,138,103138
232,103,139,103139
233,103,140,103140
234,103,141,103141
235,103,142,103142
236,103,143,103143
237,103,144,103144
238,103,145,103145
239,103,146,103146
240,103,147,103147
241,103,148,103148
242,103,149,103149
243,103,150,103150
244,103,151,103151
245,103,152,103152
246,103,153,103153
247,103,154,103154
248,103,155,103155
249,103,156,103156
250,103,157,103157
251,103,158,103158
252,103,159,103159
253,103,160,103160
254,103,161,103161
255,103,162,103162
256,103,163,103163
257,103,164,103164
258,103,165,103165
259,103,166,103166
260,103,167,103167
261,103,168,103168
262,103,169,103169
263,103,170,103170
264,103,171,103171
265,103,172,103172
266,103,173,103173
267,103,174,103174
268,103,175,103175
269,103,176,103176
270,103,177,103177
271,103,178,103178
272,103,179,103179
273,103,180,103180
274,103,181,103181
275,103,182,103182
276,103,183,103183
277,103,184,103184
278,103,185,103185
279,103,186,103186
280,103,187,103187
281,103,188,103188
282,103,189,103189
283,103,190,103190
284,103,191,103191
285,103,192,103192
286,103,193,103193
287,103,194,103194
288,103,195,103195
289,103,196,103196
290,103,197,103197
291,103,198,103198
292,103,199,103199
293,103,200,103200
294,104,105,104105
295,104,106,104106
296,104,107,104107
297,104,108,104108
298,104,109,104109
299,104,110,104110
300,104,111,104111
301,104,112,104112
302,104,113,104113
303,104,114,104114
304,104,115,104115
305,104,116,104116
306,104,117,104117
307,104,118,104118
308,104,119,104119
309,104,120,104120
310,104,121,104121
311,104,122,104122
312,104,123,104123
313,104,124,104124
314,104,125,104125
315,104,126,104126
316,104,127,104127
317,104,128,104128
318,104,129,104129
319,104,130,104130
